xfa,yfa,width_fa,height_fa,area_fa,aspect_ratio_fa,xmem,ymem,group
112.0,120.2,2.1,2.1,4.409999999999998,1.0,106,116,actual
117.0,122.44117647058823,7.0,4.9,34.3,1.4285714285714288,106,117,
118.66666666666669,111.66666666666669,1.4,1.4,1.96,1.0,106,118,
123.66666666666669,113.66666666666669,1.4,1.4,1.96,1.0,106,119,
129.0,106.0,2.1,2.1,4.409999999999998,1.0,106,120,
132.33333333333334,115.33333333333331,1.4,1.4,1.96,1.0,107,115,
134.16666666666666,110.66666666666669,2.1,2.8,5.879999999999999,0.7499999999999999,107,116,
136.2,115.2,2.1,2.1,4.409999999999998,1.0,107,120,
137.0,100.5,2.1,1.4,2.9399999999999995,1.4999999999999998,107,121,
140.16666666666666,101.83333333333331,2.1,2.1,4.409999999999998,1.0,108,114,
143.42857142857142,96.71428571428572,2.8,2.1,5.879999999999999,1.3333333333333337,108,115,
146.5625,104.875,5.6,3.5,19.6,1.6,108,121,
150.5,97.0,1.4,2.1,2.9399999999999995,0.6666666666666667,109,114,
153.66666666666666,104.66666666666669,1.4,1.4,1.96,1.0,109,121,
159.16666666666666,94.0,3.5,2.1,7.349999999999999,1.666666666666667,109,122,
160.42857142857142,106.71428571428572,2.8,2.8,7.839999999999999,1.0,110,113,
161.0,101.33333333333331,2.1,1.4,2.9399999999999995,1.4999999999999998,110,114,
172.3529411764706,86.88235294117645,4.199999999999998,4.9,20.579999999999995,0.8571428571428571,110,122,
174.25,90.0,2.1,2.1,4.409999999999998,1.0,110,123,
174.375,94.375,2.1,2.8,5.879999999999999,0.7499999999999999,111,111,
,,,,,,111,112,
,,,,,,111,113,
,,,,,,111,123,
,,,,,,111,124,
,,,,,,112,109,
,,,,,,112,110,
,,,,,,112,111,
,,,,,,112,124,
,,,,,,112,125,
,,,,,,113,108,
,,,,,,113,109,
,,,,,,113,125,
,,,,,,113,126,
,,,,,,113,127,
,,,,,,114,107,
,,,,,,114,108,
,,,,,,114,127,
,,,,,,114,128,
,,,,,,115,106,
,,,,,,115,107,
,,,,,,115,128,
,,,,,,116,106,
,,,,,,116,128,
,,,,,,117,106,
,,,,,,117,128,
,,,,,,118,105,
,,,,,,118,106,
,,,,,,118,127,
,,,,,,118,128,
,,,,,,119,104,
,,,,,,119,105,
,,,,,,119,127,
,,,,,,120,104,
,,,,,,120,127,
,,,,,,121,102,
,,,,,,121,103,
,,,,,,121,104,
,,,,,,121,126,
,,,,,,121,127,
,,,,,,122,101,
,,,,,,122,102,
,,,,,,122,126,
,,,,,,123,100,
,,,,,,123,101,
,,,,,,123,124,
,,,,,,123,125,
,,,,,,123,126,
,,,,,,124,100,
,,,,,,124,123,
,,,,,,124,124,
,,,,,,125,100,
,,,,,,125,122,
,,,,,,125,123,
,,,,,,126,100,
,,,,,,126,122,
,,,,,,127,100,
,,,,,,127,121,
,,,,,,127,122,
,,,,,,128,100,
,,,,,,128,120,
,,,,,,128,121,
,,,,,,129,99,
,,,,,,129,100,
,,,,,,129,120,
,,,,,,130,99,
,,,,,,130,120,
,,,,,,131,99,
,,,,,,131,120,
,,,,,,132,98,
,,,,,,132,99,
,,,,,,132,119,
,,,,,,132,120,
,,,,,,133,97,
,,,,,,133,98,
,,,,,,133,119,
,,,,,,134,97,
,,,,,,134,119,
,,,,,,135,97,
,,,,,,135,119,
,,,,,,136,96,
,,,,,,136,97,
,,,,,,136,119,
,,,,,,137,95,
,,,,,,137,96,
,,,,,,137,119,
,,,,,,138,94,
,,,,,,138,95,
,,,,,,138,118,
,,,,,,138,119,
,,,,,,139,94,
,,,,,,139,116,
,,,,,,139,117,
,,,,,,139,118,
,,,,,,140,94,
,,,,,,140,116,
,,,,,,141,94,
,,,,,,141,116,
,,,,,,142,93,
,,,,,,142,94,
,,,,,,142,115,
,,,,,,142,116,
,,,,,,143,93,
,,,,,,143,115,
,,,,,,144,93,
,,,,,,144,115,
,,,,,,145,93,
,,,,,,145,94,
,,,,,,145,115,
,,,,,,146,94,
,,,,,,146,114,
,,,,,,146,115,
,,,,,,147,94,
,,,,,,147,114,
,,,,,,148,94,
,,,,,,148,114,
,,,,,,149,93,
,,,,,,149,94,
,,,,,,149,114,
,,,,,,149,115,
,,,,,,150,93,
,,,,,,150,115,
,,,,,,151,93,
,,,,,,151,115,
,,,,,,152,92,
,,,,,,152,93,
,,,,,,152,115,
,,,,,,153,91,
,,,,,,153,92,
,,,,,,153,113,
,,,,,,153,114,
,,,,,,153,115,
,,,,,,154,89,
,,,,,,154,90,
,,,,,,154,91,
,,,,,,154,113,
,,,,,,155,88,
,,,,,,155,89,
,,,,,,155,112,
,,,,,,155,113,
,,,,,,156,87,
,,,,,,156,88,
,,,,,,156,112,
,,,,,,157,87,
,,,,,,157,111,
,,,,,,157,112,
,,,,,,158,86,
,,,,,,158,87,
,,,,,,158,110,
,,,,,,158,111,
,,,,,,159,85,
,,,,,,159,86,
,,,,,,159,110,
,,,,,,160,85,
,,,,,,160,109,
,,,,,,160,110,
,,,,,,161,84,
,,,,,,161,85,
,,,,,,161,109,
,,,,,,162,83,
,,,,,,162,84,
,,,,,,162,109,
,,,,,,163,81,
,,,,,,163,82,
,,,,,,163,83,
,,,,,,163,109,
,,,,,,164,81,
,,,,,,164,109,
,,,,,,165,81,
,,,,,,165,108,
,,,,,,165,109,
,,,,,,166,80,
,,,,,,166,81,
,,,,,,166,107,
,,,,,,166,108,
,,,,,,167,79,
,,,,,,167,80,
,,,,,,167,107,
,,,,,,167,108,
,,,,,,168,79,
,,,,,,168,108,
,,,,,,169,79,
,,,,,,169,108,
,,,,,,170,79,
,,,,,,170,107,
,,,,,,170,108,
,,,,,,171,79,
,,,,,,171,104,
,,,,,,171,105,
,,,,,,171,106,
,,,,,,171,107,
,,,,,,172,79,
,,,,,,172,103,
,,,,,,172,104,
,,,,,,173,79,
,,,,,,173,103,
,,,,,,174,79,
,,,,,,174,103,
,,,,,,175,79,
,,,,,,175,103,
,,,,,,176,79,
,,,,,,176,102,
,,,,,,176,103,
,,,,,,177,79,
,,,,,,177,100,
,,,,,,177,101,
,,,,,,177,102,
,,,,,,178,79,
,,,,,,178,100,
,,,,,,179,79,
,,,,,,179,100,
,,,,,,180,79,
,,,,,,180,100,
,,,,,,181,79,
,,,,,,181,80,
,,,,,,181,81,
,,,,,,181,100,
,,,,,,182,81,
,,,,,,182,82,
,,,,,,182,83,
,,,,,,182,97,
,,,,,,182,98,
,,,,,,182,99,
,,,,,,182,100,
,,,,,,183,83,
,,,,,,183,84,
,,,,,,183,87,
,,,,,,183,88,
,,,,,,183,89,
,,,,,,183,90,
,,,,,,183,91,
,,,,,,183,92,
,,,,,,183,93,
,,,,,,183,95,
,,,,,,183,96,
,,,,,,183,97,
,,,,,,184,84,
,,,,,,184,85,
,,,,,,184,86,
,,,,,,184,87,
,,,,,,184,93,
,,,,,,184,94,
,,,,,,184,95,
