xfa,yfa,xmem,ymem,group
98.2,135.6,96,134,population
101.90625,146.84375,96,135,
101,139,96,136,
101.6666667,125.6666667,96,137,
105.625,143.625,96,138,
104.3333333,129,96,139,
104.5,139.25,96,140,
108.6,146.8,96,141,
105.5,150.5,96,142,
109.0384615,115.8076923,96,143,
107,133.75,97,133,
107,138.5,97,134,
108.75,150.75,97,138,
109,136,97,143,
109.6666667,139.6666667,97,144,
110,142.6666667,97,145,
117.3958333,148.8958333,98,131,
113.1764706,156.5882353,98,132,
115.6875,128.6875,98,133,
114.4705882,137.9411765,98,145,
116.6666667,142.3333333,98,146,
118.5714286,145.5714286,98,147,
118.6666667,109.3333333,99,126,
118.5,140,99,127,
120.0526316,158.5789474,99,128,
120,137.8333333,99,129,
119.6666667,142.6666667,99,130,
121,115.6666667,99,131,
121.3333333,153,99,147,
121,156,99,148,
122.3333333,141.8333333,99,149,
124.5,134.5,99,150,
124,137.6666667,99,151,
125.5555556,154.4444444,100,124,
124.75,161.75,100,125,
128.7391304,136.2608696,100,126,
127.4,144.5,100,151,
126.3333333,147.6666667,100,152,
126.6,165.6,101,123,
129.5,111.75,101,124,
129.4285714,121.7142857,101,152,
129.5,147.5,101,153,
131.4,140.6,102,122,
132.5,143.8333333,102,123,
133.4285714,117,102,153,
132.3333333,161.3333333,102,154,
135.5333333,157.0666667,102,155,
136,152.3333333,103,122,
140.2,134.6,103,155,
142.125,131,104,121,
141.6,152.2,104,122,
142.6666667,148.6666667,104,155,
145.4285714,135.7142857,104,156,
,,105,119,
,,105,120,
,,105,121,
,,105,156,
,,105,157,
,,106,115,
,,106,116,
,,106,117,
,,106,118,
,,106,119,
,,106,157,
,,107,112,
,,107,113,
,,107,114,
,,107,115,
,,107,118,
,,107,157,
,,107,158,
,,108,111,
,,108,112,
,,108,158,
,,109,111,
,,109,158,
,,109,159,
,,110,110,
,,110,111,
,,110,159,
,,111,109,
,,111,110,
,,111,159,
,,111,160,
,,112,109,
,,112,160,
,,113,109,
,,113,160,
,,113,161,
,,114,109,
,,114,161,
,,115,109,
,,115,110,
,,115,161,
,,115,162,
,,116,109,
,,116,162,
,,117,108,
,,117,109,
,,117,162,
,,118,108,
,,118,162,
,,118,163,
,,118,164,
,,119,108,
,,119,164,
,,120,108,
,,120,164,
,,121,108,
,,121,109,
,,121,163,
,,121,164,
,,122,108,
,,122,163,
,,122,164,
,,123,108,
,,123,164,
,,123,165,
,,124,108,
,,124,165,
,,124,166,
,,125,108,
,,125,166,
,,125,167,
,,126,108,
,,126,109,
,,126,167,
,,126,168,
,,127,109,
,,127,110,
,,127,168,
,,128,110,
,,128,168,
,,129,110,
,,129,168,
,,130,110,
,,130,166,
,,130,167,
,,130,168,
,,131,110,
,,131,111,
,,131,165,
,,131,166,
,,132,111,
,,132,112,
,,132,113,
,,132,114,
,,132,164,
,,132,165,
,,133,114,
,,133,115,
,,133,116,
,,133,163,
,,133,164,
,,134,116,
,,134,117,
,,134,162,
,,134,163,
,,135,117,
,,135,160,
,,135,161,
,,135,162,
,,136,117,
,,136,118,
,,136,119,
,,136,159,
,,136,160,
,,137,119,
,,137,120,
,,137,158,
,,137,159,
,,138,120,
,,138,121,
,,138,122,
,,138,123,
,,138,124,
,,138,157,
,,138,158,
,,139,124,
,,139,155,
,,139,156,
,,139,157,
,,140,124,
,,140,125,
,,140,126,
,,140,155,
,,141,126,
,,141,127,
,,141,154,
,,141,155,
,,142,127,
,,142,128,
,,142,154,
,,143,128,
,,143,129,
,,143,151,
,,143,152,
,,143,153,
,,143,154,
,,144,129,
,,144,130,
,,144,144,
,,144,145,
,,144,146,
,,144,147,
,,144,149,
,,144,150,
,,144,151,
,,145,130,
,,145,131,
,,145,132,
,,145,143,
,,145,144,
,,145,147,
,,145,148,
,,145,149,
,,146,132,
,,146,133,
,,146,134,
,,146,141,
,,146,142,
,,146,143,
,,147,134,
,,147,135,
,,147,136,
,,147,137,
,,147,138,
,,147,141,
,,148,138,
,,148,139,
,,148,140,
,,148,141,
