xfa,yfa,xmem,ymem,group
103.5,119.5,100,118,population
105.9285714,129.0714286,100,119,
106.6666667,111.2222222,100,120,
109.21875,121.125,100,121,
109.8571429,133.7142857,100,122,
107.3333333,106.3333333,100,123,
111.5,106,100,124,
111.75,130.125,100,125,
113.6666667,112.6666667,100,126,
116.6666667,117.6666667,101,116,
117.5,104,101,117,
119,93.33333333,101,118,
120.6666667,142.3333333,101,126,
122.6666667,125.3333333,101,127,
127.4666667,129.7333333,101,128,
126.9565217,140.7826087,102,114,
124.6666667,144.6666667,102,115,
130.3125,97.8125,102,116,
126.6666667,112,102,128,
127.6666667,103.6666667,102,129,
130.1818182,107.4545455,103,113,
129.5,114.6666667,103,114,
134.5,95.66666667,103,129,
135.5,104.5,103,130,
140.5294118,109.9215686,103,131,
135.5,112.5,103,132,
136.1111111,125.2222222,103,133,
138.75,93.75,104,97,
138.5,119.5,104,98,
148.6666667,116.6666667,104,99,
,,104,100,
,,104,101,
,,104,102,
,,104,103,
,,104,104,
,,104,112,
,,104,113,
,,104,133,
,,104,134,
,,105,97,
,,105,104,
,,105,105,
,,105,106,
,,105,107,
,,105,108,
,,105,109,
,,105,110,
,,105,111,
,,105,112,
,,105,134,
,,105,135,
,,105,136,
,,105,137,
,,106,97,
,,106,137,
,,106,138,
,,106,139,
,,107,96,
,,107,97,
,,107,139,
,,107,140,
,,108,96,
,,108,140,
,,108,141,
,,109,96,
,,109,141,
,,109,142,
,,110,96,
,,110,97,
,,110,142,
,,111,97,
,,111,142,
,,111,143,
,,112,97,
,,112,98,
,,112,143,
,,112,144,
,,113,95,
,,113,96,
,,113,97,
,,113,144,
,,114,94,
,,114,95,
,,114,144,
,,115,93,
,,115,94,
,,115,144,
,,116,93,
,,116,144,
,,117,92,
,,117,93,
,,117,144,
,,118,92,
,,118,144,
,,118,145,
,,119,92,
,,119,145,
,,120,91,
,,120,92,
,,120,145,
,,120,146,
,,121,90,
,,121,91,
,,121,146,
,,122,89,
,,122,90,
,,122,146,
,,122,147,
,,123,89,
,,123,147,
,,124,89,
,,124,147,
,,125,89,
,,125,147,
,,125,148,
,,126,88,
,,126,89,
,,126,148,
,,127,88,
,,127,148,
,,128,88,
,,128,147,
,,128,148,
,,129,88,
,,129,147,
,,130,88,
,,130,138,
,,130,139,
,,130,140,
,,130,141,
,,130,142,
,,130,143,
,,130,144,
,,130,146,
,,130,147,
,,131,88,
,,131,135,
,,131,136,
,,131,137,
,,131,138,
,,131,144,
,,131,145,
,,131,146,
,,132,88,
,,132,135,
,,133,88,
,,133,135,
,,134,88,
,,134,89,
,,134,134,
,,134,135,
,,135,89,
,,135,133,
,,135,134,
,,136,89,
,,136,131,
,,136,132,
,,136,133,
,,137,89,
,,137,90,
,,137,129,
,,137,130,
,,137,131,
,,138,90,
,,138,128,
,,138,129,
,,139,90,
,,139,91,
,,139,127,
,,139,128,
,,140,91,
,,140,125,
,,140,126,
,,140,127,
,,141,91,
,,141,92,
,,141,93,
,,141,94,
,,141,95,
,,141,96,
,,141,125,
,,142,96,
,,142,97,
,,142,124,
,,142,125,
,,143,97,
,,143,98,
,,143,120,
,,143,121,
,,143,122,
,,143,123,
,,143,124,
,,144,98,
,,144,119,
,,144,120,
,,145,98,
,,145,99,
,,145,108,
,,145,109,
,,145,110,
,,145,119,
,,146,99,
,,146,108,
,,146,110,
,,146,111,
,,146,119,
,,147,99,
,,147,108,
,,147,111,
,,147,119,
,,148,99,
,,148,106,
,,148,107,
,,148,108,
,,148,111,
,,148,112,
,,148,119,
,,149,99,
,,149,103,
,,149,104,
,,149,105,
,,149,106,
,,149,112,
,,149,113,
,,149,119,
,,150,99,
,,150,100,
,,150,101,
,,150,102,
,,150,103,
,,150,113,
,,150,114,
,,150,115,
,,150,116,
,,150,117,
,,150,118,
,,150,119,
