xfa,yfa,xmem,ymem,group
85.76923077,123.8076923,79,122,population
91.91176471,137.1176471,79,123,
97.51428571,114.0857143,79,124,
92.66666667,113.3333333,80,121,
93,135,80,122,
97.5,123.5,80,124,
97.5,135.5,80,125,
98.33333333,119.3333333,80,126,
99.125,152.125,80,127,
99,122,81,120,
99.66666667,129.3333333,81,121,
104.7368421,118.3157895,81,127,
101.25,123.5,81,128,
106.3333333,103.3333333,81,129,
105.3,126.5,81,130,
104.3333333,152.3333333,82,117,
105.6666667,155.5555556,82,118,
107.6875,106.0625,82,119,
110.1666667,108.6666667,82,120,
109.5,128.8333333,82,130,
109.6,116.2,82,131,
109.25,121.25,82,132,
121.1052632,111.4035088,83,116,
111,119.5,83,117,
112.2,157.8,83,132,
116.1428571,117.5238095,83,133,
112.5,135.5,84,116,
112.8,151.8,84,133,
114,120.375,85,116,
113,124,85,133,
114,137,85,134,
115.2,140.2,86,115,
115.5,151.5,86,116,
117,103,86,134,
116.6666667,125,86,135,
117.6666667,135.8333333,87,115,
117.2,149.4,87,135,
117.5,153.5,88,113,
119.25,105,88,114,
119.5,126.5,88,115,
122.75,130,88,135,
121.4,121.2,88,136,
121,124,88,137,
121.5,139.5,88,138,
122.5,109.5,89,111,
122.8,114.4,89,112,
122,128,89,113,
124,105.6,89,138,
123.3333333,117.3333333,90,110,
124.4615385,124.2307692,90,111,
125.8,108.6,90,138,
127.2,95.8,90,139,
132.9333333,103.8666667,91,110,
127.5,124.5,91,139,
129.1428571,117.2857143,91,140,
129.6666667,122.5,91,141,
132.3571429,117.2857143,91,142,
132.8,110.2,92,108,
133.5,94.5,92,109,
134,113,92,110,
134,120.75,92,142,
135.3333333,117.3333333,92,143,
136.5,111.5,92,144,
137.3333333,97.66666667,93,108,
137.25,104.75,93,144,
137.8,115,93,145,
140.7692308,110.7692308,94,107,
141,99,94,108,
144.6,101.4,94,145,
153,102.5,94,146,
,,95,107,
,,95,146,
,,95,147,
,,95,148,
,,96,107,
,,96,148,
,,96,149,
,,97,106,
,,97,107,
,,97,149,
,,97,150,
,,97,151,
,,97,152,
,,97,153,
,,98,106,
,,98,153,
,,98,154,
,,98,155,
,,99,106,
,,99,155,
,,99,156,
,,100,105,
,,100,106,
,,100,156,
,,101,105,
,,101,156,
,,101,157,
,,102,104,
,,102,105,
,,102,157,
,,103,103,
,,103,104,
,,103,157,
,,103,158,
,,104,102,
,,104,103,
,,104,158,
,,105,101,
,,105,102,
,,105,158,
,,106,101,
,,106,158,
,,106,159,
,,107,101,
,,107,159,
,,108,100,
,,108,101,
,,108,159,
,,109,100,
,,109,159,
,,109,160,
,,110,100,
,,110,160,
,,111,99,
,,111,100,
,,111,160,
,,112,98,
,,112,99,
,,112,160,
,,113,98,
,,113,160,
,,114,97,
,,114,98,
,,114,160,
,,115,97,
,,115,159,
,,115,160,
,,116,97,
,,116,159,
,,117,96,
,,117,97,
,,117,158,
,,117,159,
,,118,96,
,,118,157,
,,118,158,
,,119,96,
,,119,146,
,,119,147,
,,119,154,
,,119,155,
,,119,156,
,,119,157,
,,120,96,
,,120,143,
,,120,145,
,,120,146,
,,120,147,
,,120,148,
,,120,149,
,,120,150,
,,120,153,
,,120,154,
,,121,95,
,,121,96,
,,121,142,
,,121,143,
,,121,144,
,,121,145,
,,121,150,
,,121,151,
,,121,152,
,,121,153,
,,122,95,
,,122,142,
,,123,95,
,,123,140,
,,123,141,
,,123,142,
,,124,95,
,,124,136,
,,124,137,
,,124,138,
,,124,139,
,,124,140,
,,125,95,
,,125,135,
,,125,136,
,,126,94,
,,126,95,
,,126,96,
,,126,134,
,,126,135,
,,127,94,
,,127,132,
,,127,133,
,,127,134,
,,128,93,
,,128,94,
,,128,132,
,,129,93,
,,129,131,
,,129,132,
,,130,92,
,,130,93,
,,130,131,
,,131,92,
,,131,130,
,,131,131,
,,132,92,
,,132,129,
,,132,130,
,,133,92,
,,133,124,
,,133,125,
,,133,126,
,,133,127,
,,133,128,
,,133,129,
,,134,92,
,,134,93,
,,134,124,
,,135,93,
,,135,94,
,,135,123,
,,135,124,
,,136,94,
,,136,95,
,,136,122,
,,136,123,
,,137,95,
,,137,119,
,,137,120,
,,137,121,
,,137,122,
,,138,95,
,,138,119,
,,139,95,
,,139,117,
,,139,118,
,,139,119,
,,140,95,
,,140,117,
,,141,95,
,,141,116,
,,141,117,
,,142,95,
,,142,96,
,,142,115,
,,142,116,
,,143,96,
,,143,114,
,,143,115,
,,144,96,
,,144,113,
,,144,114,
,,145,96,
,,145,97,
,,145,112,
,,145,113,
,,146,97,
,,146,111,
,,146,112,
,,147,97,
,,147,109,
,,147,110,
,,147,111,
,,148,97,
,,148,108,
,,148,109,
,,149,96,
,,149,97,
,,149,107,
,,149,108,
,,150,96,
,,150,106,
,,150,107,
,,151,96,
,,151,106,
,,152,96,
,,152,105,
,,152,106,
,,153,96,
,,153,97,
,,153,105,
,,154,97,
,,154,98,
,,154,104,
,,154,105,
,,155,97,
,,155,104,
,,156,97,
,,156,98,
,,156,103,
,,156,104,
,,157,98,
,,157,99,
,,157,101,
,,157,102,
,,157,103,
,,158,99,
,,158,100,
,,158,101,
