xfa,yfa,xmem,ymem,group
123.6956522,99,119,101,population
127.2,97.4,119,102,
132.5,96.5,119,103,
136,98.5,119,104,
136.5,104.5,120,98,
138,95.5,120,99,
137.3333333,101.6666667,120,100,
143,106.3333333,120,101,
149.8666667,109.3333333,120,104,
149.3333333,101.3333333,121,92,
150.3333333,96.33333333,121,93,
160.5,107.5,121,94,
162.2857143,113.1428571,121,95,
163,104,121,96,
164,101.5,121,97,
165,110.5,121,98,
167.3333333,116,121,104,
170.8461538,103.6153846,121,105,
168.5,112.25,122,92,
168.3333333,121.6666667,122,96,
171.6666667,114.5,122,105,
170.5,120.5,123,91,
172.2,124.6,123,92,
,,123,104,
,,123,105,
,,124,91,
,,124,104,
,,124,105,
,,125,91,
,,125,92,
,,125,105,
,,126,91,
,,126,92,
,,126,105,
,,127,91,
,,127,105,
,,128,91,
,,128,92,
,,128,105,
,,129,92,
,,129,105,
,,130,92,
,,130,105,
,,130,106,
,,131,92,
,,131,93,
,,131,106,
,,132,92,
,,132,93,
,,132,105,
,,132,106,
,,133,92,
,,133,106,
,,134,91,
,,134,92,
,,134,106,
,,135,91,
,,135,106,
,,136,91,
,,136,106,
,,136,107,
,,137,91,
,,137,107,
,,138,91,
,,138,107,
,,139,91,
,,139,92,
,,139,107,
,,140,92,
,,140,107,
,,140,108,
,,141,92,
,,141,108,
,,142,92,
,,142,108,
,,143,92,
,,143,108,
,,143,109,
,,144,92,
,,144,109,
,,145,92,
,,145,109,
,,145,110,
,,146,92,
,,146,110,
,,147,92,
,,147,93,
,,147,110,
,,147,111,
,,148,93,
,,148,111,
,,149,93,
,,149,111,
,,150,93,
,,150,111,
,,151,93,
,,151,111,
,,151,112,
,,152,93,
,,152,112,
,,153,93,
,,153,112,
,,153,113,
,,154,93,
,,154,94,
,,154,113,
,,155,93,
,,155,113,
,,155,114,
,,156,93,
,,156,94,
,,156,114,
,,157,94,
,,157,114,
,,157,115,
,,158,94,
,,158,95,
,,158,115,
,,159,95,
,,159,115,
,,159,116,
,,160,95,
,,160,116,
,,160,117,
,,161,95,
,,161,96,
,,161,117,
,,162,96,
,,162,117,
,,162,118,
,,163,96,
,,163,97,
,,163,118,
,,163,119,
,,163,120,
,,164,97,
,,164,120,
,,165,97,
,,165,98,
,,165,120,
,,165,121,
,,166,98,
,,166,121,
,,167,98,
,,167,99,
,,167,121,
,,167,122,
,,167,123,
,,168,99,
,,168,123,
,,168,124,
,,169,99,
,,169,100,
,,169,124,
,,169,125,
,,169,126,
,,170,100,
,,170,126,
,,170,127,
,,171,100,
,,171,127,
,,171,128,
,,172,100,
,,172,101,
,,172,107,
,,172,108,
,,172,128,
,,173,101,
,,173,102,
,,173,107,
,,173,108,
,,173,109,
,,173,128,
,,173,129,
,,174,102,
,,174,103,
,,174,105,
,,174,106,
,,174,107,
,,174,109,
,,174,110,
,,174,129,
,,175,103,
,,175,104,
,,175,105,
,,175,110,
,,175,129,
,,176,110,
,,176,111,
,,176,129,
,,177,111,
,,177,112,
,,177,121,
,,177,129,
,,178,112,
,,178,113,
,,178,114,
,,178,121,
,,178,122,
,,178,123,
,,178,124,
,,178,125,
,,178,129,
,,179,114,
,,179,115,
,,179,117,
,,179,120,
,,179,121,
,,179,125,
,,179,126,
,,179,127,
,,179,128,
,,179,129,
,,180,115,
,,180,116,
,,180,117,
,,180,118,
,,180,119,
,,180,120,
