xfa,yfa,xmem,ymem,group
93.85714286,159.7142857,89,150,population
96.2,156.2,89,151,
99.8,148.8,89,152,
102,155.5,89,153,
100.7777778,164.6666667,89,154,
101.3333333,140,89,155,
102.2,168.2,89,156,
103.4285714,131.4285714,90,150,
106.5,166,90,152,
106.6666667,120.6666667,90,153,
107.4444444,125.5555556,90,156,
107.3333333,116.3333333,90,157,
110.625,114.25,91,149,
110.4285714,123.1428571,91,150,
111.75,130.75,91,157,
112.5,138.5,91,158,
114,152.5,91,159,
114.3333333,135.6666667,91,160,
116,147.5,91,161,
117.375,166.5,92,149,
120.6666667,131.3333333,92,161,
122.9,143.6,92,162,
121.8333333,154,93,149,
121.25,160,93,162,
121.3333333,127,94,148,
121.6666667,137,94,149,
122.6666667,164.6666667,94,162,
125.8181818,156.7272727,94,163,
125.75,130.75,94,164,
127.5,161.75,95,146,
129,151,95,147,
128.6666667,158.6666667,95,148,
132.25,158.75,95,164,
132.6666667,146,96,145,
134.375,152.5,96,146,
135.3333333,141.1666667,96,164,
135.5,136.5,97,139,
136.2,144.4,97,140,
139,138.5,97,141,
,,97,143,
,,97,144,
,,97,145,
,,97,164,
,,98,139,
,,98,141,
,,98,142,
,,98,143,
,,98,164,
,,98,165,
,,98,166,
,,98,167,
,,99,138,
,,99,139,
,,99,164,
,,99,167,
,,100,136,
,,100,137,
,,100,138,
,,100,167,
,,100,168,
,,100,169,
,,100,170,
,,101,126,
,,101,127,
,,101,128,
,,101,129,
,,101,130,
,,101,131,
,,101,132,
,,101,133,
,,101,134,
,,101,135,
,,101,136,
,,101,167,
,,101,170,
,,102,123,
,,102,124,
,,102,125,
,,102,126,
,,102,167,
,,102,170,
,,103,121,
,,103,122,
,,103,123,
,,103,166,
,,103,169,
,,103,170,
,,104,113,
,,104,114,
,,104,115,
,,104,116,
,,104,117,
,,104,118,
,,104,119,
,,104,120,
,,104,121,
,,104,169,
,,105,109,
,,105,110,
,,105,111,
,,105,112,
,,105,113,
,,105,168,
,,105,169,
,,106,109,
,,106,168,
,,107,109,
,,107,168,
,,108,109,
,,108,167,
,,108,168,
,,109,109,
,,109,166,
,,109,167,
,,110,109,
,,110,166,
,,110,167,
,,111,109,
,,111,110,
,,111,111,
,,111,112,
,,111,167,
,,112,112,
,,112,113,
,,112,167,
,,112,168,
,,113,113,
,,113,114,
,,113,168,
,,114,114,
,,114,168,
,,115,114,
,,115,115,
,,115,116,
,,115,168,
,,115,169,
,,116,116,
,,116,117,
,,116,169,
,,117,117,
,,117,169,
,,118,117,
,,118,118,
,,118,169,
,,119,118,
,,119,168,
,,119,169,
,,120,118,
,,120,119,
,,120,120,
,,120,121,
,,120,122,
,,120,123,
,,120,124,
,,120,168,
,,121,124,
,,121,167,
,,121,168,
,,122,124,
,,122,125,
,,122,167,
,,123,125,
,,123,126,
,,123,167,
,,124,126,
,,124,127,
,,124,128,
,,124,165,
,,124,166,
,,124,167,
,,125,128,
,,125,129,
,,125,165,
,,126,129,
,,126,164,
,,126,165,
,,127,129,
,,127,130,
,,127,164,
,,128,130,
,,128,131,
,,128,163,
,,128,164,
,,129,131,
,,129,163,
,,130,131,
,,130,162,
,,130,163,
,,131,131,
,,131,161,
,,131,162,
,,132,131,
,,132,161,
,,133,131,
,,133,132,
,,133,133,
,,133,160,
,,133,161,
,,134,133,
,,134,160,
,,135,133,
,,135,149,
,,135,159,
,,135,160,
,,136,133,
,,136,134,
,,136,148,
,,136,149,
,,136,150,
,,136,156,
,,136,157,
,,136,158,
,,136,159,
,,137,134,
,,137,147,
,,137,148,
,,137,150,
,,137,151,
,,137,152,
,,137,153,
,,137,154,
,,137,155,
,,137,156,
,,138,134,
,,138,140,
,,138,141,
,,138,142,
,,138,143,
,,138,144,
,,138,145,
,,138,146,
,,138,147,
,,139,134,
,,139,135,
,,139,136,
,,139,140,
,,140,136,
,,140,139,
,,140,140,
,,141,136,
,,141,137,
,,141,138,
,,141,139,
