xfa,yfa,xmem,ymem,group
99,139,91,139,population
101.9333333,134.4,91,140,
111.5333333,150,91,141,
109.3333333,134.6666667,91,142,
109.6666667,145.6666667,92,138,
113.2857143,136,92,139,
118,142.5,92,142,
118.6666667,129.8333333,92,143,
122.3333333,129.3333333,92,144,
124.3333333,146.3333333,92,145,
126.2857143,129.8571429,93,137,
127.2,149.6,93,138,
127.6666667,126.6666667,93,145,
128.1666667,153.6666667,93,146,
130.1538462,144.6153846,94,137,
132.6,124.2,94,146,
135.2,120.6,94,147,
134.5,149.5,95,136,
141.4821429,126.3928571,95,137,
138.6666667,119.6666667,95,147,
139.6666667,141.3333333,95,148,
138.3333333,146.6666667,96,135,
141.5,118,96,136,
142.5,125,96,148,
145.8333333,141.8333333,97,134,
146.8333333,133.5833333,97,135,
147.75,128.25,97,148,
149.4545455,138.7272727,98,134,
152.4444444,141.6666667,98,148,
150,127.5,98,149,
151.7272727,132.2727273,99,133,
153.2857143,126.7142857,99,134,
152,129,99,149,
152.5714286,137.7142857,99,150,
156.9166667,133.9166667,100,133,
154.5,143.5,100,150,
155.6666667,136.3333333,101,133,
157.5714286,124.3571429,101,149,
158.125,140.75,101,150,
161.5,135.5,102,132,
,,102,133,
,,102,150,
,,102,151,
,,103,132,
,,103,151,
,,104,131,
,,104,132,
,,104,151,
,,105,130,
,,105,131,
,,105,151,
,,106,130,
,,106,150,
,,106,151,
,,107,130,
,,107,131,
,,107,151,
,,107,152,
,,108,131,
,,108,152,
,,109,131,
,,109,132,
,,109,152,
,,110,131,
,,110,152,
,,111,130,
,,111,131,
,,111,152,
,,112,129,
,,112,130,
,,112,152,
,,113,129,
,,113,152,
,,114,129,
,,114,152,
,,114,153,
,,115,128,
,,115,129,
,,115,153,
,,116,128,
,,116,153,
,,117,128,
,,117,153,
,,118,128,
,,118,153,
,,118,154,
,,119,128,
,,119,154,
,,120,128,
,,120,154,
,,121,128,
,,121,154,
,,122,128,
,,122,154,
,,122,155,
,,123,127,
,,123,128,
,,123,155,
,,123,156,
,,124,127,
,,124,156,
,,124,157,
,,125,126,
,,125,127,
,,125,157,
,,125,158,
,,126,126,
,,126,158,
,,127,125,
,,127,126,
,,127,158,
,,128,124,
,,128,125,
,,128,158,
,,129,124,
,,129,157,
,,129,158,
,,130,122,
,,130,123,
,,130,124,
,,130,157,
,,131,120,
,,131,121,
,,131,122,
,,131,156,
,,131,157,
,,132,119,
,,132,120,
,,132,156,
,,133,116,
,,133,117,
,,133,118,
,,133,119,
,,133,156,
,,134,116,
,,134,154,
,,134,155,
,,134,156,
,,135,115,
,,135,116,
,,135,154,
,,136,114,
,,136,115,
,,136,153,
,,136,154,
,,137,113,
,,137,114,
,,137,151,
,,137,152,
,,137,153,
,,138,113,
,,138,150,
,,138,151,
,,139,113,
,,139,150,
,,140,113,
,,140,149,
,,140,150,
,,141,113,
,,141,148,
,,141,149,
,,142,113,
,,142,114,
,,142,147,
,,142,148,
,,143,114,
,,143,115,
,,143,116,
,,143,146,
,,143,147,
,,144,116,
,,144,117,
,,144,118,
,,144,119,
,,144,146,
,,145,119,
,,145,120,
,,145,145,
,,145,146,
,,146,120,
,,146,145,
,,147,120,
,,147,145,
,,148,120,
,,148,145,
,,149,120,
,,149,121,
,,149,145,
,,150,121,
,,150,145,
,,151,121,
,,151,145,
,,152,121,
,,152,122,
,,152,145,
,,153,121,
,,153,145,
,,153,146,
,,154,121,
,,154,146,
,,154,147,
,,155,120,
,,155,121,
,,155,147,
,,156,120,
,,156,147,
,,157,120,
,,157,147,
,,158,120,
,,158,147,
,,159,120,
,,159,147,
,,160,120,
,,160,146,
,,160,147,
,,161,120,
,,161,121,
,,161,122,
,,161,123,
,,161,124,
,,161,128,
,,161,129,
,,161,144,
,,161,145,
,,161,146,
,,162,124,
,,162,125,
,,162,126,
,,162,127,
,,162,128,
,,162,129,
,,162,130,
,,162,131,
,,162,139,
,,162,142,
,,162,143,
,,162,144,
,,163,131,
,,163,132,
,,163,133,
,,163,134,
,,163,135,
,,163,136,
,,163,137,
,,163,138,
,,163,139,
,,163,140,
,,163,141,
,,163,142,
