xfa,yfa,xmem,ymem,group
71,129,69,122,population
75.66666667,120.6666667,69,123,
79,123.25,69,124,
80.75,140.75,69,125,
85.5,111.1666667,69,126,
83.5,121.5,69,127,
84.57142857,127,69,128,
86.42857143,118.4285714,69,129,
90.45454545,134.1818182,69,130,
89.5,124.5,70,122,
91.23076923,145.2307692,70,125,
93.16666667,141.3333333,70,130,
97.30769231,120.3846154,70,131,
97,139.375,70,132,
97,151.8333333,70,133,
98,147.75,70,134,
101.75,117,70,135,
104.9,126.4,70,136,
104.6428571,153.3571429,70,137,
104.3333333,107.3333333,71,122,
104.6666667,136.6666667,71,131,
106.4,105.2,71,137,
105.3333333,142.3333333,72,121,
107.6666667,119.6666667,72,122,
107.5,122.5,72,137,
108.5,96.5,72,138,
113.5454545,105.8181818,72,139,
110.6666667,127.6666667,72,140,
111.5,118.5,72,141,
112.8,123.6,73,119,
112.6666667,140.6666667,73,120,
114.8,148.6,73,121,
116.3333333,91.33333333,73,141,
118,93.5,74,119,
119.3333333,121.6666667,74,141,
121.5,83.5,74,142,
122.1,100,75,117,
121.6,107.2,75,118,
121.5,136.5,75,119,
122.3333333,121.3333333,75,142,
127.2,99,75,143,
127.7142857,127,75,144,
128.2,105.4,76,116,
127.3333333,140.6666667,76,117,
132.8484848,76.66666667,76,144,
130.7857143,112.7857143,77,115,
133.2,122.2,77,116,
132.5,128.5,77,144,
133.6666667,118.6666667,77,145,
135,108.5,77,146,
135.3333333,87.33333333,77,147,
135.6666667,115.6666667,78,114,
140.6382979,123.9148936,78,115,
136.5,140.5,78,147,
139.75,105.25,78,148,
141.7142857,137.3571429,79,113,
141.8571429,114.4285714,79,114,
143.6666667,131.3333333,79,148,
144,129,80,113,
146.5,127.5,80,148,
146.6666667,137.6666667,80,149,
151.7142857,140.4285714,81,111,
,,81,112,
,,81,113,
,,81,149,
,,81,150,
,,82,110,
,,82,111,
,,82,150,
,,82,151,
,,83,110,
,,83,151,
,,84,109,
,,84,110,
,,84,150,
,,84,151,
,,85,109,
,,85,150,
,,86,109,
,,86,149,
,,86,150,
,,87,108,
,,87,109,
,,87,150,
,,88,106,
,,88,107,
,,88,108,
,,88,149,
,,88,150,
,,89,106,
,,89,148,
,,89,149,
,,90,106,
,,90,107,
,,90,148,
,,91,107,
,,91,148,
,,92,107,
,,92,148,
,,93,107,
,,93,148,
,,94,107,
,,94,147,
,,94,148,
,,95,107,
,,95,147,
,,95,148,
,,95,150,
,,95,151,
,,95,152,
,,95,153,
,,95,154,
,,96,107,
,,96,148,
,,96,149,
,,96,150,
,,96,154,
,,96,155,
,,97,106,
,,97,107,
,,97,150,
,,97,155,
,,97,156,
,,98,106,
,,98,156,
,,99,105,
,,99,106,
,,99,155,
,,99,156,
,,100,105,
,,100,155,
,,101,95,
,,101,96,
,,101,97,
,,101,98,
,,101,103,
,,101,104,
,,101,105,
,,101,155,
,,101,156,
,,102,95,
,,102,98,
,,102,103,
,,102,156,
,,102,157,
,,103,94,
,,103,95,
,,103,98,
,,103,99,
,,103,100,
,,103,101,
,,103,102,
,,103,103,
,,103,157,
,,103,158,
,,104,94,
,,104,100,
,,104,101,
,,104,158,
,,105,94,
,,105,157,
,,105,158,
,,106,94,
,,106,156,
,,106,157,
,,107,94,
,,107,155,
,,107,156,
,,108,94,
,,108,155,
,,109,94,
,,109,154,
,,109,155,
,,110,93,
,,110,94,
,,110,153,
,,110,154,
,,111,93,
,,111,152,
,,111,153,
,,112,92,
,,112,93,
,,112,152,
,,113,92,
,,113,152,
,,114,91,
,,114,92,
,,114,152,
,,115,89,
,,115,90,
,,115,91,
,,115,152,
,,116,88,
,,116,89,
,,116,152,
,,117,86,
,,117,87,
,,117,88,
,,117,151,
,,117,152,
,,118,85,
,,118,86,
,,118,151,
,,119,84,
,,119,85,
,,119,150,
,,119,151,
,,120,83,
,,120,84,
,,120,150,
,,121,81,
,,121,82,
,,121,83,
,,121,150,
,,122,80,
,,122,81,
,,122,150,
,,123,79,
,,123,80,
,,123,150,
,,124,78,
,,124,79,
,,124,150,
,,125,77,
,,125,78,
,,125,150,
,,126,76,
,,126,77,
,,126,150,
,,127,76,
,,127,149,
,,127,150,
,,128,75,
,,128,76,
,,128,149,
,,129,74,
,,129,75,
,,129,148,
,,129,149,
,,130,72,
,,130,73,
,,130,74,
,,130,148,
,,131,72,
,,131,147,
,,131,148,
,,132,71,
,,132,72,
,,132,147,
,,132,148,
,,133,71,
,,133,148,
,,134,71,
,,134,147,
,,134,148,
,,135,71,
,,135,72,
,,135,77,
,,135,78,
,,135,79,
,,135,147,
,,136,72,
,,136,73,
,,136,74,
,,136,75,
,,136,76,
,,136,77,
,,136,79,
,,136,80,
,,136,81,
,,136,82,
,,136,146,
,,136,147,
,,137,82,
,,137,83,
,,137,84,
,,137,146,
,,138,84,
,,138,85,
,,138,86,
,,138,87,
,,138,91,
,,138,146,
,,139,87,
,,139,88,
,,139,89,
,,139,90,
,,139,91,
,,139,92,
,,139,93,
,,139,94,
,,139,95,
,,139,96,
,,139,97,
,,139,146,
,,140,97,
,,140,98,
,,140,99,
,,140,100,
,,140,146,
,,141,100,
,,141,101,
,,141,102,
,,141,146,
,,142,102,
,,142,103,
,,142,106,
,,142,107,
,,142,108,
,,142,109,
,,142,146,
,,143,103,
,,143,104,
,,143,105,
,,143,106,
,,143,109,
,,143,110,
,,143,111,
,,143,112,
,,143,113,
,,143,114,
,,143,146,
,,144,114,
,,144,115,
,,144,116,
,,144,146,
,,145,116,
,,145,117,
,,145,118,
,,145,119,
,,145,122,
,,145,146,
,,146,119,
,,146,120,
,,146,121,
,,146,122,
,,146,123,
,,146,146,
,,147,123,
,,147,124,
,,147,146,
,,148,124,
,,148,125,
,,148,126,
,,148,145,
,,148,146,
,,149,126,
,,149,127,
,,149,145,
,,150,127,
,,150,128,
,,150,129,
,,150,130,
,,150,145,
,,151,130,
,,151,131,
,,151,145,
,,152,131,
,,152,132,
,,152,145,
,,153,132,
,,153,133,
,,153,144,
,,153,145,
,,154,133,
,,154,134,
,,154,135,
,,154,137,
,,154,144,
,,155,135,
,,155,136,
,,155,137,
,,155,138,
,,155,143,
,,155,144,
,,156,138,
,,156,139,
,,156,140,
,,156,141,
,,156,142,
,,156,143,
