xfa,yfa,xmem,ymem,group
108.0882353,108.6470588,101,106,population
109.75,121.75,101,107,
109.5,126,101,108,
110.8888889,132.4444444,101,109,
116.375,103.46875,102,105,
111.5,107,102,106,
111.3333333,139.1666667,102,109,
112.3333333,118.3333333,102,110,
113,121,102,111,
114.5714286,126.1428571,102,112,
115.1333333,128.8666667,103,104,
112.4,144.6,103,105,
113.5,123.5,103,112,
116,134.4285714,103,113,
118.1,115.7,103,114,
117.5714286,119.5714286,104,103,
116,122,104,104,
117.3333333,131.6666667,104,114,
117.3333333,142.6666667,104,115,
117.6,145.8,104,116,
119,139,105,103,
120.1666667,123.6666667,105,116,
119.5,130.5,105,117,
120.0714286,135.1428571,106,103,
121.25,142.3,106,117,
120,120.5,106,118,
120.6666667,127.6666667,107,103,
121.5,147.3333333,107,118,
122.1428571,113.8571429,107,119,
122.3333333,120,107,120,
123,132.4285714,107,123,
125.2727273,153.8181818,107,124,
123.6666667,122.8333333,107,125,
128.0263158,132.0526316,108,103,
124.4285714,137.1428571,108,120,
123.5,149.5,108,121,
125.7,142.2,108,122,
125.5,99,108,123,
127.4,120.7333333,108,125,
125.75,146.25,108,126,
126,151,108,127,
126,126,108,128,
127.4,148.2,108,129,
128.9090909,126.2727273,108,130,
129,141,108,131,
131.7272727,143.8181818,108,132,
129.6666667,152,108,133,
132,108,108,134,
131.875,114.625,108,135,
131.8181818,135.7272727,108,136,
131.6666667,97.33333333,108,137,
132.4166667,122.4166667,109,103,
131.25,140.75,109,137,
131.6666667,148.3333333,109,138,
133.3333333,127,110,102,
134.6666667,138.3333333,110,103,
135.8,114.8,110,138,
135.4,120.2,110,139,
136.9090909,133.8181818,110,140,
136.3333333,123.3333333,110,141,
141.2142857,128.9285714,111,101,
140.8,112.4,111,102,
142.8,117.8,111,141,
,,111,142,
,,111,143,
,,111,144,
,,111,145,
,,111,146,
,,111,147,
,,112,100,
,,112,101,
,,112,147,
,,113,99,
,,113,100,
,,113,147,
,,113,148,
,,113,149,
,,113,150,
,,114,99,
,,114,150,
,,114,151,
,,115,99,
,,115,151,
,,115,152,
,,115,153,
,,116,99,
,,116,153,
,,116,154,
,,117,99,
,,117,100,
,,117,154,
,,118,100,
,,118,101,
,,118,154,
,,119,101,
,,119,154,
,,119,155,
,,120,100,
,,120,101,
,,120,155,
,,121,100,
,,121,155,
,,121,156,
,,122,100,
,,122,156,
,,123,99,
,,123,100,
,,123,156,
,,123,157,
,,124,97,
,,124,98,
,,124,99,
,,124,157,
,,125,96,
,,125,97,
,,125,157,
,,126,95,
,,126,96,
,,126,157,
,,127,95,
,,127,157,
,,128,95,
,,128,157,
,,129,95,
,,129,157,
,,130,95,
,,130,96,
,,130,156,
,,130,157,
,,131,96,
,,131,156,
,,132,96,
,,132,102,
,,132,103,
,,132,104,
,,132,105,
,,132,155,
,,132,156,
,,133,96,
,,133,102,
,,133,105,
,,133,151,
,,133,152,
,,133,153,
,,133,154,
,,133,155,
,,134,96,
,,134,97,
,,134,98,
,,134,99,
,,134,100,
,,134,101,
,,134,102,
,,134,105,
,,134,148,
,,134,149,
,,134,150,
,,134,151,
,,135,105,
,,135,140,
,,135,146,
,,135,147,
,,135,148,
,,136,105,
,,136,137,
,,136,138,
,,136,139,
,,136,140,
,,136,141,
,,136,142,
,,136,143,
,,136,144,
,,136,145,
,,136,146,
,,137,105,
,,137,136,
,,137,137,
,,138,105,
,,138,106,
,,138,135,
,,138,136,
,,139,106,
,,139,134,
,,139,135,
,,140,106,
,,140,107,
,,140,108,
,,140,109,
,,140,110,
,,140,133,
,,140,134,
,,141,110,
,,141,123,
,,141,124,
,,141,134,
,,142,110,
,,142,111,
,,142,121,
,,142,122,
,,142,123,
,,142,124,
,,142,125,
,,142,127,
,,142,133,
,,142,134,
,,143,111,
,,143,112,
,,143,113,
,,143,120,
,,143,121,
,,143,125,
,,143,126,
,,143,127,
,,143,128,
,,143,132,
,,143,133,
,,144,113,
,,144,114,
,,144,115,
,,144,119,
,,144,120,
,,144,128,
,,144,129,
,,144,130,
,,144,131,
,,144,132,
,,145,115,
,,145,116,
,,145,117,
,,145,118,
,,145,119,
