xfa,yfa,xmem,ymem,group
97.8,108.2,95,97,population
97.33333333,114.3333333,95,98,
100.875,115.9375,95,99,
101.5833333,124.4166667,95,100,
103.6666667,99.33333333,95,101,
108.5,104.5,95,102,
110.75,98.75,95,103,
111.0909091,129.4545455,95,108,
111,102.25,95,109,
112,109.1,95,110,
116.2428571,119.5714286,95,111,
110.75,120.75,95,112,
110.6,125.2,95,113,
111.5,105,96,95,
113.4,123.1,96,96,
119.8108108,100.4324324,96,97,
114,97,96,103,
114.8,103.6,96,104,
115.2,108.7,96,105,
117.8,102,96,106,
119.1111111,94.11111111,96,107,
118.75,108.25,96,108,
120,97,96,113,
121.9090909,116.6363636,96,114,
120.6666667,121.3333333,96,115,
123.4,125.8666667,96,116,
122.4,111.2,96,117,
130.5463918,109.4123711,96,118,
125.7777778,98,96,119,
126.5833333,120.1666667,97,95,
125.3333333,110.6666667,97,119,
125,117,97,120,
126,123,97,121,
128.9090909,116.7272727,97,122,
132.4482759,123.8275862,98,95,
134,101.2,98,122,
129.5,108,98,123,
135.2,105.4,98,124,
136.4,110.8,99,95,
144.0695652,117.9565217,99,124,
139.5555556,111.2222222,99,125,
140.625,123.25,100,95,
141.8,116.6,100,125,
,,100,126,
,,100,127,
,,101,95,
,,101,127,
,,101,128,
,,102,95,
,,102,128,
,,103,95,
,,103,128,
,,103,129,
,,104,94,
,,104,95,
,,104,129,
,,105,93,
,,105,94,
,,105,129,
,,105,130,
,,106,93,
,,106,130,
,,107,93,
,,107,130,
,,107,131,
,,108,93,
,,108,131,
,,109,93,
,,109,131,
,,109,132,
,,110,93,
,,110,132,
,,111,93,
,,111,94,
,,111,132,
,,112,94,
,,112,131,
,,112,132,
,,113,93,
,,113,94,
,,113,132,
,,114,93,
,,114,131,
,,114,132,
,,115,93,
,,115,132,
,,116,93,
,,116,132,
,,117,93,
,,117,132,
,,117,133,
,,118,93,
,,118,133,
,,119,92,
,,119,93,
,,119,132,
,,119,133,
,,120,92,
,,120,132,
,,121,91,
,,121,92,
,,121,132,
,,122,91,
,,122,132,
,,123,91,
,,123,92,
,,123,132,
,,124,92,
,,124,93,
,,124,94,
,,124,131,
,,124,132,
,,125,94,
,,125,95,
,,125,131,
,,125,132,
,,126,95,
,,126,132,
,,127,95,
,,127,132,
,,128,95,
,,128,96,
,,128,132,
,,129,96,
,,129,97,
,,129,132,
,,130,97,
,,130,132,
,,131,97,
,,131,98,
,,131,132,
,,132,98,
,,132,132,
,,133,98,
,,133,99,
,,133,132,
,,134,99,
,,134,100,
,,134,132,
,,135,100,
,,135,131,
,,135,132,
,,136,100,
,,136,131,
,,137,100,
,,137,131,
,,138,100,
,,138,101,
,,138,131,
,,139,101,
,,139,102,
,,139,103,
,,139,131,
,,139,132,
,,140,103,
,,140,104,
,,140,132,
,,141,104,
,,141,132,
,,142,104,
,,142,105,
,,142,132,
,,143,105,
,,143,132,
,,144,105,
,,144,106,
,,144,131,
,,144,132,
,,145,106,
,,145,131,
,,146,106,
,,146,107,
,,146,131,
,,147,107,
,,147,108,
,,147,109,
,,147,131,
,,148,109,
,,148,110,
,,148,131,
,,149,110,
,,149,111,
,,149,121,
,,149,122,
,,149,123,
,,149,124,
,,149,125,
,,149,126,
,,149,127,
,,149,128,
,,149,129,
,,149,130,
,,149,131,
,,150,111,
,,150,120,
,,150,121,
,,151,111,
,,151,112,
,,151,119,
,,151,120,
,,152,112,
,,152,113,
,,152,114,
,,152,118,
,,152,119,
,,153,114,
,,153,117,
,,153,118,
,,154,114,
,,154,115,
,,154,116,
,,154,117,
