xfa,yfa,xmem,ymem,group
102.3333333,115.1666667,94,113,population
105.7272727,111.8181818,94,114,
109,125.5,94,115,
110.2857143,130.4285714,94,116,
111.5,112.5,94,117,
113.5,115.5,94,118,
114.8,118.8,94,119,
119.25,116.75,95,112,
118.25,126,95,113,
122.1428571,141.7142857,95,119,
122.8,128.6,95,120,
122.3333333,132.3333333,95,121,
124,114.75,95,122,
123.8,136.6,96,112,
125.6666667,120.8333333,96,122,
128.2727273,133.1818182,97,112,
132.5,116.8125,97,122,
135.1666667,138.1666667,97,123,
139,115,97,124,
139.75,121.125,98,111,
138.8,124.6,98,112,
138.4,134.4,98,124,
143.9090909,136.6363636,98,125,
143,112.75,99,111,
146.8421053,118.1578947,99,125,
149.4736842,122.2105263,100,111,
145.6666667,130,100,125,
146.3333333,113.6666667,100,126,
147.75,139.75,100,127,
149,120,100,128,
151.3666667,131.7,101,111,
149.5,113,101,128,
153.3125,141.25,102,110,
153.6666667,125,102,111,
154.3333333,138.3333333,102,128,
157.0833333,134.0833333,103,110,
156.9,126,103,128,
157.5,137,104,110,
160.8,124.8,104,128,
161,128.5,104,129,
160.6666667,137.3333333,104,130,
,,105,110,
,,105,130,
,,105,131,
,,106,110,
,,106,131,
,,107,110,
,,107,131,
,,108,110,
,,108,111,
,,108,131,
,,108,132,
,,109,110,
,,109,132,
,,110,110,
,,110,132,
,,110,133,
,,110,134,
,,111,110,
,,111,134,
,,112,110,
,,112,134,
,,112,135,
,,113,110,
,,113,111,
,,113,135,
,,114,111,
,,114,112,
,,114,135,
,,114,136,
,,114,137,
,,115,112,
,,115,113,
,,115,137,
,,116,112,
,,116,137,
,,116,138,
,,117,112,
,,117,138,
,,117,139,
,,117,140,
,,118,112,
,,118,140,
,,118,141,
,,118,142,
,,118,143,
,,119,112,
,,119,143,
,,119,144,
,,120,112,
,,120,144,
,,121,112,
,,121,144,
,,122,112,
,,122,144,
,,123,112,
,,123,144,
,,124,112,
,,124,144,
,,125,112,
,,125,113,
,,125,144,
,,126,113,
,,126,114,
,,126,144,
,,127,114,
,,127,144,
,,128,114,
,,128,143,
,,128,144,
,,129,114,
,,129,143,
,,130,114,
,,130,143,
,,131,114,
,,131,142,
,,131,143,
,,132,114,
,,132,142,
,,133,114,
,,133,141,
,,133,142,
,,134,114,
,,134,141,
,,135,114,
,,135,141,
,,136,113,
,,136,114,
,,136,141,
,,137,113,
,,137,140,
,,137,141,
,,138,112,
,,138,113,
,,138,140,
,,139,111,
,,139,112,
,,139,140,
,,140,111,
,,140,140,
,,141,110,
,,141,111,
,,141,139,
,,141,140,
,,142,109,
,,142,110,
,,142,139,
,,142,140,
,,143,108,
,,143,109,
,,143,140,
,,144,108,
,,144,140,
,,144,141,
,,145,108,
,,145,141,
,,146,108,
,,146,141,
,,147,107,
,,147,108,
,,147,141,
,,147,142,
,,148,107,
,,148,142,
,,149,107,
,,149,142,
,,149,143,
,,149,144,
,,150,107,
,,150,144,
,,150,145,
,,151,107,
,,151,108,
,,151,145,
,,151,146,
,,152,108,
,,152,109,
,,152,110,
,,152,111,
,,152,112,
,,152,113,
,,152,114,
,,152,115,
,,152,116,
,,152,146,
,,153,116,
,,153,117,
,,153,146,
,,153,147,
,,154,117,
,,154,147,
,,155,117,
,,155,118,
,,155,146,
,,155,147,
,,156,118,
,,156,119,
,,156,120,
,,156,146,
,,157,120,
,,157,145,
,,157,146,
,,158,120,
,,158,121,
,,158,144,
,,158,145,
,,159,121,
,,159,144,
,,160,121,
,,160,140,
,,160,141,
,,160,143,
,,160,144,
,,161,121,
,,161,140,
,,161,141,
,,161,142,
,,161,143,
,,162,121,
,,162,137,
,,162,138,
,,162,139,
,,162,140,
,,163,121,
,,163,131,
,,163,133,
,,163,134,
,,163,135,
,,163,136,
,,163,137,
,,164,121,
,,164,130,
,,164,131,
,,164,132,
,,164,133,
,,165,121,
,,165,122,
,,165,126,
,,165,127,
,,165,128,
,,165,129,
,,165,130,
,,166,122,
,,166,123,
,,166,124,
,,166,125,
,,166,126,
