xfa,yfa,xmem,ymem,group
77.4,147.6666667,66,145,population
76.28571429,151.4285714,66,146,
78.11111111,141.7777778,66,147,
94,147.5,66,148,
90.66666667,150.6666667,66,149,
95,136,66,150,
101.2,148.6,66,151,
101.3333333,140.3333333,66,152,
105.8571429,143.1428571,66,153,
107.375,152.125,67,144,
110.1428571,142.7142857,67,145,
112.2857143,148.4285714,67,150,
114.8333333,151.1666667,67,151,
121.5,137.5,67,153,
121.2,142.6,67,154,
123.125,148.5,68,141,
125.25,138.75,68,142,
143,138.9487179,68,143,
,,68,144,
,,68,154,
,,69,138,
,,69,139,
,,69,140,
,,69,141,
,,69,154,
,,69,155,
,,70,137,
,,70,138,
,,70,140,
,,70,155,
,,71,137,
,,71,155,
,,71,156,
,,72,135,
,,72,136,
,,72,137,
,,72,156,
,,73,134,
,,73,135,
,,73,156,
,,73,157,
,,74,134,
,,74,157,
,,75,134,
,,75,135,
,,75,157,
,,76,135,
,,76,157,
,,76,158,
,,77,135,
,,77,158,
,,78,134,
,,78,135,
,,78,158,
,,79,134,
,,79,158,
,,80,134,
,,80,158,
,,81,134,
,,81,158,
,,82,134,
,,82,158,
,,83,134,
,,83,158,
,,84,134,
,,84,135,
,,84,157,
,,84,158,
,,85,133,
,,85,134,
,,85,156,
,,85,157,
,,86,132,
,,86,133,
,,86,156,
,,87,132,
,,87,156,
,,88,132,
,,88,156,
,,89,132,
,,89,133,
,,89,155,
,,89,156,
,,90,133,
,,90,134,
,,90,155,
,,91,133,
,,91,134,
,,91,155,
,,92,133,
,,92,155,
,,93,133,
,,93,155,
,,94,133,
,,94,154,
,,94,155,
,,95,133,
,,95,153,
,,95,154,
,,96,133,
,,96,153,
,,97,133,
,,97,134,
,,97,152,
,,97,153,
,,98,134,
,,98,152,
,,99,134,
,,99,152,
,,100,133,
,,100,134,
,,100,152,
,,101,133,
,,101,152,
,,102,133,
,,102,152,
,,103,133,
,,103,152,
,,103,153,
,,104,133,
,,104,153,
,,104,154,
,,105,132,
,,105,133,
,,105,154,
,,105,155,
,,106,132,
,,106,155,
,,107,132,
,,107,155,
,,108,132,
,,108,155,
,,108,156,
,,109,132,
,,109,133,
,,109,156,
,,110,133,
,,110,134,
,,110,156,
,,111,134,
,,111,155,
,,111,156,
,,112,134,
,,112,135,
,,112,155,
,,113,135,
,,113,155,
,,114,135,
,,114,155,
,,115,135,
,,115,155,
,,116,135,
,,116,155,
,,117,135,
,,117,155,
,,118,135,
,,118,155,
,,119,135,
,,119,154,
,,119,155,
,,120,134,
,,120,135,
,,120,154,
,,121,134,
,,121,154,
,,121,155,
,,122,134,
,,122,155,
,,123,134,
,,123,155,
,,124,134,
,,124,155,
,,125,134,
,,125,135,
,,125,155,
,,125,156,
,,126,135,
,,126,156,
,,127,135,
,,127,156,
,,128,135,
,,128,136,
,,128,156,
,,129,136,
,,129,155,
,,129,156,
,,130,136,
,,130,154,
,,130,155,
,,131,136,
,,131,154,
,,132,135,
,,132,136,
,,132,154,
,,133,135,
,,133,154,
,,134,135,
,,134,153,
,,134,154,
,,135,135,
,,135,153,
,,135,154,
,,136,135,
,,136,154,
,,137,133,
,,137,134,
,,137,135,
,,137,153,
,,137,154,
,,138,133,
,,138,153,
,,139,133,
,,139,153,
,,140,133,
,,140,152,
,,140,153,
,,141,133,
,,141,152,
,,142,133,
,,142,151,
,,142,152,
,,143,133,
,,143,134,
,,143,150,
,,143,151,
,,144,134,
,,144,149,
,,144,150,
,,145,134,
,,145,149,
,,146,134,
,,146,135,
,,146,149,
,,147,135,
,,147,136,
,,147,137,
,,147,138,
,,147,139,
,,147,149,
,,148,139,
,,148,140,
,,148,141,
,,148,148,
,,148,149,
,,149,141,
,,149,142,
,,149,143,
,,149,144,
,,149,148,
,,150,144,
,,150,145,
,,150,147,
,,150,148,
,,151,145,
,,151,146,
,,151,147,
