xfa,yfa,xmem,ymem,group
106.1111111,135.1111111,101,141,population
107.1428571,145.2857143,101,142,
109.3,126.4,101,143,
110.5454545,119.7272727,101,144,
114.4,136.2,102,138,
117.7142857,118.1428571,102,139,
119.6666667,143.6666667,102,140,
121.8571429,114,102,141,
121.6666667,130,102,144,
122.8,106.6,102,145,
123.3333333,118.6666667,102,146,
123.8,131.6,102,147,
127,138.125,103,134,
126.3571429,148.7142857,103,135,
126.3333333,109.3333333,103,136,
131,134.5,103,137,
134.3333333,129.3333333,103,138,
136.3888889,114,103,147,
136.5,126.5,104,130,
144.2,116.8,104,131,
,,104,132,
,,104,133,
,,104,134,
,,104,136,
,,104,147,
,,104,148,
,,105,127,
,,105,128,
,,105,129,
,,105,130,
,,105,148,
,,106,123,
,,106,124,
,,106,125,
,,106,126,
,,106,127,
,,106,148,
,,107,120,
,,107,121,
,,107,122,
,,107,123,
,,107,148,
,,108,118,
,,108,119,
,,108,120,
,,108,148,
,,109,118,
,,109,147,
,,109,148,
,,110,117,
,,110,118,
,,110,147,
,,110,148,
,,111,116,
,,111,117,
,,111,148,
,,111,149,
,,112,116,
,,112,149,
,,112,150,
,,113,116,
,,113,150,
,,113,151,
,,114,116,
,,114,151,
,,114,152,
,,114,153,
,,114,154,
,,115,116,
,,115,154,
,,115,155,
,,116,116,
,,116,155,
,,117,114,
,,117,115,
,,117,116,
,,117,155,
,,118,113,
,,118,114,
,,118,155,
,,118,156,
,,119,111,
,,119,112,
,,119,113,
,,119,156,
,,120,106,
,,120,107,
,,120,108,
,,120,109,
,,120,110,
,,120,111,
,,120,156,
,,121,105,
,,121,106,
,,121,155,
,,121,156,
,,122,105,
,,122,155,
,,123,105,
,,123,106,
,,123,155,
,,124,106,
,,124,154,
,,124,155,
,,125,106,
,,125,107,
,,125,154,
,,126,107,
,,126,153,
,,126,154,
,,127,107,
,,127,153,
,,128,107,
,,128,153,
,,129,107,
,,129,153,
,,130,107,
,,130,141,
,,130,142,
,,130,150,
,,130,151,
,,130,152,
,,130,153,
,,131,107,
,,131,108,
,,131,137,
,,131,138,
,,131,139,
,,131,140,
,,131,141,
,,131,142,
,,131,143,
,,131,144,
,,131,145,
,,131,146,
,,131,147,
,,131,148,
,,131,149,
,,131,150,
,,132,108,
,,132,136,
,,132,137,
,,133,108,
,,133,109,
,,133,135,
,,133,136,
,,134,109,
,,134,110,
,,134,133,
,,134,134,
,,134,135,
,,135,110,
,,135,111,
,,135,132,
,,135,133,
,,136,111,
,,136,132,
,,137,111,
,,137,130,
,,137,131,
,,137,132,
,,138,111,
,,138,128,
,,138,129,
,,138,130,
,,139,111,
,,139,127,
,,139,128,
,,140,111,
,,140,112,
,,140,126,
,,140,127,
,,141,112,
,,141,126,
,,142,112,
,,142,126,
,,143,112,
,,143,125,
,,143,126,
,,144,111,
,,144,112,
,,144,125,
,,145,111,
,,145,115,
,,145,118,
,,145,119,
,,145,120,
,,145,125,
,,146,111,
,,146,114,
,,146,115,
,,146,116,
,,146,117,
,,146,118,
,,146,120,
,,146,121,
,,146,122,
,,146,125,
,,147,111,
,,147,112,
,,147,113,
,,147,114,
,,147,122,
,,147,123,
,,147,125,
,,148,123,
,,148,124,
,,148,125,
