xfa,yfa,xmem,ymem,group
71.42857143,130.8571429,68,127,population
72.77777778,137.4444444,68,128,
76.44444444,125.9444444,68,129,
74.33333333,133,68,130,
76.30769231,145,68,131,
78.66666667,129.6666667,69,126,
80.66666667,106,69,127,
81.5,119.6666667,69,131,
80.66666667,134.6666667,69,132,
86.83333333,133,69,134,
90.92857143,139.5714286,69,135,
94.09090909,99.45454545,69,136,
93.25,122.75,69,137,
94.5,132.5,69,138,
95.5,102.5,69,139,
97.875,118.5,70,126,
98.22222222,131.2222222,70,132,
98.8,103.4,70,133,
105,98.3,70,134,
102.5,129.5,70,139,
106.2727273,116.6363636,70,140,
106.75,90.875,70,141,
107.3333333,86.66666667,70,142,
112,94,70,143,
111.3333333,108.3333333,70,144,
113.5,97.75,70,145,
115,87.83333333,70,146,
114.75,108.25,70,147,
116.6,101.8,70,148,
118.6666667,111.4666667,71,125,
119.6666667,99.66666667,71,126,
120,102,71,143,
121.6,103.6,71,148,
,,71,149,
,,72,125,
,,72,149,
,,73,125,
,,73,149,
,,74,125,
,,74,148,
,,74,149,
,,75,125,
,,75,149,
,,76,107,
,,76,108,
,,76,109,
,,76,110,
,,76,111,
,,76,112,
,,76,124,
,,76,125,
,,76,148,
,,76,149,
,,77,106,
,,77,107,
,,77,112,
,,77,113,
,,77,114,
,,77,115,
,,77,116,
,,77,117,
,,77,118,
,,77,122,
,,77,123,
,,77,124,
,,77,148,
,,78,105,
,,78,106,
,,78,116,
,,78,118,
,,78,119,
,,78,120,
,,78,121,
,,78,122,
,,78,147,
,,78,148,
,,79,104,
,,79,105,
,,79,146,
,,79,147,
,,80,103,
,,80,104,
,,80,146,
,,81,103,
,,81,146,
,,82,103,
,,82,145,
,,82,146,
,,83,103,
,,83,145,
,,84,102,
,,84,103,
,,84,145,
,,85,102,
,,85,145,
,,86,101,
,,86,102,
,,86,144,
,,86,145,
,,87,100,
,,87,101,
,,87,144,
,,88,100,
,,88,144,
,,89,100,
,,89,143,
,,89,144,
,,90,98,
,,90,99,
,,90,100,
,,90,143,
,,91,98,
,,91,143,
,,92,98,
,,92,143,
,,93,97,
,,93,98,
,,93,142,
,,93,143,
,,94,96,
,,94,97,
,,94,142,
,,95,96,
,,95,141,
,,95,142,
,,96,96,
,,96,141,
,,97,96,
,,97,137,
,,97,138,
,,97,139,
,,97,140,
,,97,141,
,,98,96,
,,98,136,
,,98,137,
,,99,94,
,,99,95,
,,99,96,
,,99,134,
,,99,135,
,,99,136,
,,100,93,
,,100,94,
,,100,133,
,,100,134,
,,101,92,
,,101,93,
,,101,132,
,,101,133,
,,102,91,
,,102,92,
,,102,132,
,,103,87,
,,103,88,
,,103,89,
,,103,90,
,,103,91,
,,103,131,
,,103,132,
,,104,86,
,,104,87,
,,104,130,
,,104,131,
,,105,85,
,,105,86,
,,105,129,
,,105,130,
,,106,84,
,,106,85,
,,106,128,
,,106,129,
,,107,84,
,,107,128,
,,108,84,
,,108,127,
,,108,128,
,,109,84,
,,109,127,
,,110,84,
,,110,127,
,,111,84,
,,111,85,
,,111,126,
,,111,127,
,,112,85,
,,112,125,
,,112,126,
,,113,85,
,,113,125,
,,114,85,
,,114,121,
,,114,122,
,,114,123,
,,114,124,
,,114,125,
,,115,85,
,,115,119,
,,115,120,
,,115,121,
,,116,85,
,,116,86,
,,116,118,
,,116,119,
,,117,86,
,,117,87,
,,117,117,
,,117,118,
,,118,87,
,,118,88,
,,118,89,
,,118,116,
,,118,117,
,,119,89,
,,119,115,
,,119,116,
,,120,89,
,,120,90,
,,120,91,
,,120,114,
,,120,115,
,,121,91,
,,121,92,
,,121,93,
,,121,112,
,,121,113,
,,121,114,
,,122,93,
,,122,94,
,,122,95,
,,122,96,
,,122,97,
,,122,98,
,,122,99,
,,122,111,
,,122,112,
,,123,99,
,,123,100,
,,123,101,
,,123,102,
,,123,109,
,,123,110,
,,123,111,
,,124,102,
,,124,103,
,,124,104,
,,124,105,
,,124,106,
,,124,107,
,,124,108,
,,124,109,
