xfa,yfa,width_fa,height_fa,area_fa,aspect_ratio_fa,xmem,ymem,group
99.66666667,107.6666667,1.4,1.4,1.96,1,93,106,population
108.5,110.5,1.4,1.4,1.96,1,93,107,
111.5,102.5,1.4,1.4,1.96,1,93,108,
114,82.25,2.1,1.4,2.94,1.5,93,109,
114.2,107.8,2.1,2.1,4.41,1,93,110,
114,114.5,2.1,2.8,5.88,0.75,93,111,
115,93.5,2.1,2.8,5.88,0.75,93,112,
119.1578947,88.68421053,4.9,4.9,24.01,1,94,106,
117,127,2.1,0.7,1.47,3,94,109,
117.3333333,96.33333333,1.4,1.4,1.96,1,94,112,
118,102.3333333,2.1,2.8,5.88,0.75,94,113,
117.75,107.75,1.4,2.1,2.94,0.666666667,95,106,
121.5,102.5,1.4,1.4,1.96,1,95,113,
122.3333333,99.66666667,1.4,1.4,1.96,1,95,114,
125.5,118.6666667,4.2,2.1,8.82,2,95,115,
125.3333333,98.66666667,1.4,1.4,1.96,1,95,116,
125.8,102.4,2.1,1.4,2.94,1.5,95,117,
129.6,101.6,1.4,2.8,3.92,0.5,96,105,
130.25,116.25,2.1,1.4,2.94,1.5,96,106,
133,99.7,2.8,4.2,11.76,0.666666667,96,117,
135.2,93.8,2.1,2.1,4.41,1,96,118,
138.8333333,104.6666667,2.8,1.4,3.92,2,97,104,
139,94,2.1,2.1,4.41,1,97,105,
144.1818182,95.36363636,2.1,4.2,8.82,0.5,97,118,
145.8333333,89,2.1,2.1,4.41,1,98,103,
145.6666667,107.6666667,1.4,1.4,1.96,1,98,104,
146.3333333,104.3333333,1.4,1.4,1.96,1,98,118,
147.7142857,115,2.8,2.1,5.88,1.333333333,98,119,
150,111.6666667,2.1,1.4,2.94,1.5,99,102,
151,97.5,2.1,1.4,2.94,1.5,99,103,
152.6666667,103.3333333,3.5,2.1,7.35,1.666666667,99,119,
151.6666667,108.6666667,1.4,1.4,1.96,1,100,102,
154.7777778,89.22222222,3.5,2.1,7.35,1.666666667,100,119,
155.375,93.625,2.1,2.8,5.88,0.75,100,120,
155.5,84,1.4,2.1,2.94,0.666666667,100,121,
158.5714286,88.28571429,4.2,2.8,11.76,1.5,100,122,
158.6666667,85,1.4,2.1,2.94,0.666666667,101,102,
166.5666667,93.2,11.2,4.2,47.04,2.666666667,101,122,
161.375,116.5,2.8,2.8,7.84,1,101,123,
164.5714286,86.95238095,4.9,3.5,17.15,1.4,102,101,
168,100.1666667,2.1,2.1,4.41,1,102,102,
