xfa,yfa,width_fa,height_fa,area_fa,aspect_ratio_fa,xmem,ymem,group
111.625,116.5,2.8,4.2,11.76,0.666666667,109,110,population
113.4166667,105.4166667,3.5,3.5,12.25,1,109,111,
122.75,118.75,14,9.8,137.2,1.428571429,109,112,
116.2222222,115,3.5,2.8,9.8,1.25,109,113,
114,119,0.7,0.7,0.49,1,109,114,
115.5,117,1.4,0.7,0.98,2,109,115,
118,126,4.9,3.5,17.15,1.4,109,116,
118.1666667,129.5,2.8,1.4,3.92,2,109,117,
121.4166667,102.75,4.2,2.8,11.76,1.5,109,118,
119.6,136.2,1.4,2.1,2.94,0.666666667,110,106,
121.5,98.5,2.8,1.4,3.92,2,110,107,
120,116.5,0.7,1.4,0.98,0.5,110,108,
120,122,0.7,0.7,0.49,1,110,109,
130.5490196,144.6862745,15.4,11.2,172.48,1.375,110,110,
122.4,122.6,1.4,2.8,3.92,0.5,110,118,
122,129,0.7,0.7,0.49,1,110,119,
122.75,131.75,1.4,2.1,2.94,0.666666667,110,120,
123,136,2.1,2.1,4.41,1,110,121,
123.5,150.5,2.8,1.4,3.92,2,110,122,
125.0666667,128.2666667,2.1,4.2,8.82,0.5,110,123,
125,133,0.7,0.7,0.49,1,110,124,
126.6666667,136.3333333,1.4,4.2,5.88,0.333333333,111,104,
127.3333333,97.33333333,1.4,1.4,1.96,1,111,105,
127,141,0.7,0.7,0.49,1,111,106,
129.0909091,129.8181818,2.8,3.5,9.8,0.8,111,124,
130.875,111.625,3.5,2.1,7.35,1.666666667,111,125,
132.8333333,123.1666667,2.1,3.5,7.35,0.6,111,126,
133.1428571,141.5714286,2.1,2.8,5.88,0.75,112,103,
134.5,106.5,1.4,1.4,1.96,1,112,104,
134.5,116.5,1.4,1.4,1.96,1,112,126,
137.25,137.75,3.5,2.1,7.35,1.666666667,112,127,
136.8,134.6,2.1,1.4,2.94,1.5,112,128,
137.6,100.2,1.4,2.1,2.94,0.666666667,113,102,
137.3333333,120.3333333,1.4,1.4,1.96,1,113,103,
138.1111111,126.5555556,2.8,2.8,7.84,1,113,128,
140.9166667,139.4166667,2.8,4.9,13.72,0.571428571,113,129,
140.5,98.5,1.4,1.4,1.96,1,113,130,
140.6,106.8,1.4,2.1,2.94,0.666666667,114,101,
143.4705882,115.9117647,5.6,9.8,54.88,0.571428571,114,102,
140,135,0.7,0.7,0.49,1,114,130,
141.5,132,1.4,2.1,2.94,0.666666667,114,131,
145.3157895,129.4736842,2.8,8.4,23.52,0.333333333,114,132,
145.5,116.5,1.4,1.4,1.96,1,114,133,
147.4285714,113.2857143,1.4,2.8,3.92,0.5,114,134,
,,,,,,115,100,
,,,,,,115,101,
,,,,,,115,134,
,,,,,,115,135,
,,,,,,115,136,
,,,,,,115,137,
,,,,,,115,138,
,,,,,,115,139,
,,,,,,116,99,
,,,,,,116,100,
,,,,,,116,139,
,,,,,,116,140,
,,,,,,117,99,
,,,,,,117,140,
,,,,,,117,141,
,,,,,,117,142,
,,,,,,118,98,
,,,,,,118,99,
,,,,,,118,142,
,,,,,,118,143,
,,,,,,118,144,
,,,,,,118,145,
,,,,,,118,146,
,,,,,,119,98,
,,,,,,119,143,
,,,,,,119,146,
,,,,,,119,147,
,,,,,,119,148,
,,,,,,119,149,
,,,,,,120,97,
,,,,,,120,98,
,,,,,,120,149,
,,,,,,120,150,
,,,,,,120,151,
,,,,,,121,97,
,,,,,,121,151,
,,,,,,121,152,
,,,,,,121,153,
,,,,,,122,96,
,,,,,,122,97,
,,,,,,122,153,
,,,,,,123,96,
,,,,,,123,153,
,,,,,,124,95,
,,,,,,124,96,
,,,,,,124,152,
,,,,,,124,153,
,,,,,,125,95,
,,,,,,125,152,
,,,,,,126,95,
,,,,,,126,151,
,,,,,,126,152,
,,,,,,127,95,
,,,,,,127,151,
,,,,,,128,95,
,,,,,,128,96,
,,,,,,128,150,
,,,,,,128,151,
,,,,,,129,94,
,,,,,,129,95,
,,,,,,129,150,
,,,,,,130,94,
,,,,,,130,150,
,,,,,,131,93,
,,,,,,131,94,
,,,,,,131,150,
,,,,,,131,151,
,,,,,,132,93,
,,,,,,132,151,
,,,,,,133,92,
,,,,,,133,93,
,,,,,,133,151,
,,,,,,133,152,
,,,,,,134,92,
,,,,,,134,152,
,,,,,,135,91,
,,,,,,135,92,
,,,,,,135,152,
,,,,,,135,153,
,,,,,,136,91,
,,,,,,136,153,
,,,,,,137,91,
,,,,,,137,92,
,,,,,,137,153,
,,,,,,138,92,
,,,,,,138,153,
,,,,,,139,92,
,,,,,,139,151,
,,,,,,139,152,
,,,,,,139,153,
,,,,,,140,92,
,,,,,,140,93,
,,,,,,140,94,
,,,,,,140,150,
,,,,,,140,151,
,,,,,,141,94,
,,,,,,141,95,
,,,,,,141,96,
,,,,,,141,97,
,,,,,,141,146,
,,,,,,141,147,
,,,,,,141,148,
,,,,,,141,149,
,,,,,,141,150,
,,,,,,142,97,
,,,,,,142,98,
,,,,,,142,99,
,,,,,,142,144,
,,,,,,142,145,
,,,,,,142,146,
,,,,,,143,99,
,,,,,,143,100,
,,,,,,143,143,
,,,,,,143,144,
,,,,,,144,100,
,,,,,,144,101,
,,,,,,144,138,
,,,,,,144,139,
,,,,,,144,140,
,,,,,,144,141,
,,,,,,144,142,
,,,,,,144,143,
,,,,,,145,101,
,,,,,,145,102,
,,,,,,145,103,
,,,,,,145,106,
,,,,,,145,135,
,,,,,,145,136,
,,,,,,145,137,
,,,,,,145,138,
,,,,,,146,103,
,,,,,,146,104,
,,,,,,146,105,
,,,,,,146,106,
,,,,,,146,107,
,,,,,,146,108,
,,,,,,146,134,
,,,,,,146,135,
,,,,,,147,108,
,,,,,,147,109,
,,,,,,147,128,
,,,,,,147,129,
,,,,,,147,130,
,,,,,,147,131,
,,,,,,147,132,
,,,,,,147,133,
,,,,,,147,134,
,,,,,,148,109,
,,,,,,148,110,
,,,,,,148,111,
,,,,,,148,119,
,,,,,,148,122,
,,,,,,148,123,
,,,,,,148,124,
,,,,,,148,125,
,,,,,,148,126,
,,,,,,148,127,
,,,,,,148,128,
,,,,,,149,111,
,,,,,,149,112,
,,,,,,149,113,
,,,,,,149,117,
,,,,,,149,118,
,,,,,,149,119,
,,,,,,149,120,
,,,,,,149,121,
,,,,,,149,122,
,,,,,,150,113,
,,,,,,150,114,
,,,,,,150,117,
,,,,,,151,114,
,,,,,,151,115,
,,,,,,151,116,
,,,,,,151,117,
