xfa,yfa,width_fa,height_fa,area_fa,aspect_ratio_fa,xmem,ymem,group
84.33333333,130,1.4,2.1,2.94,0.666666667,81,131,population
86,135.5,2.1,1.4,2.94,1.5,81,132,
89.09090909,150.9090909,3.5,3.5,12.25,1,81,133,
89.125,155.5,3.5,2.8,9.8,1.25,81,134,
88.5,125.5,1.4,1.4,1.96,1,82,129,
91,139.875,2.1,2.8,5.88,0.75,82,130,
91.5,143.5,1.4,1.4,1.96,1,82,131,
91.5,146.5,1.4,1.4,1.96,1,82,134,
92.66666667,160.3333333,2.8,2.8,7.84,1,82,135,
94.92307692,117.3846154,4.2,3.5,14.7,1.2,83,126,
93.33333333,136.6666667,1.4,1.4,1.96,1,83,127,
94.33333333,151.3333333,1.4,1.4,1.96,1,83,128,
97.66666667,153.5,1.4,2.8,3.92,0.5,83,129,
98,166,2.1,4.2,8.82,0.5,83,135,
99.70588235,102.4117647,4.2,4.9,20.58,0.857142857,83,136,
98.75,127,1.4,2.1,2.94,0.666666667,84,125,
102.6315789,110.9473684,5.6,4.9,27.44,1.142857143,84,126,
99.5,118,1.4,2.1,2.94,0.666666667,84,136,
102.3333333,135.3333333,1.4,1.4,1.96,1,84,137,
102.3333333,151.5,1.4,2.8,3.92,0.5,84,152,
104,138,2.1,2.1,4.41,1,84,153,
103.6,147.8,1.4,2.1,2.94,0.666666667,84,154,
106.125,96.75,2.8,2.1,5.88,1.333333333,84,155,
105.625,132.25,2.1,2.8,5.88,0.75,84,156,
106.6666667,128.6666667,1.4,1.4,1.96,1,85,125,
108.2222222,154.4444444,2.8,3.5,9.8,0.8,85,137,
109.4,106.4,2.8,1.4,3.92,2,85,138,
110.7857143,144.7142857,4.2,3.5,14.7,1.2,85,139,
110.5,109.5,1.4,1.4,1.96,1,85,150,
112.0909091,126.3636364,2.8,3.5,9.8,0.8,85,151,
112.5,116.5,1.4,1.4,1.96,1,85,152,
113,151.75,2.1,1.4,2.94,1.5,85,156,
114.5,119.5,2.8,1.4,3.92,2,85,157,
113.3333333,131,1.4,2.1,2.94,0.666666667,86,123,
115.5,108.5,2.8,1.4,3.92,2,86,124,
115.6666667,105.6666667,1.4,1.4,1.96,1,86,125,
116,115,0.7,2.1,1.47,0.333333333,86,139,
120.8125,115.9375,4.2,4.9,20.58,0.857142857,86,140,
