xfa,yfa,width_fa,height_fa,area_fa,aspect_ratio_fa,xmem,ymem,group
110.625,96.875,4.9,6.3,30.87,0.777777778,108,96,population
110.6923077,108.5384615,2.8,5.6,15.68,0.5,108,97,
113,109,0.7,0.7,0.49,1,108,98,
116.125,108.5,3.5,5.6,19.6,0.625,108,99,
118.6153846,114.3076923,4.2,6.3,26.46,0.666666667,108,100,
120.6470588,96.47058824,4.9,4.2,20.58,1.166666667,108,101,
119,109,0.7,0.7,0.49,1,108,102,
122.5,91.375,4.2,2.8,11.76,1.5,108,103,
121.3333333,107.1666667,2.1,2.1,4.41,1,108,104,
120.5,122.5,1.4,1.4,1.96,1,108,105,
124.6666667,101.5333333,4.9,3.5,17.15,1.4,108,106,
123.6,112.2,1.4,2.1,2.94,0.666666667,108,107,
124.6666667,119,1.4,2.1,2.94,0.666666667,108,108,
128.9411765,113.2941176,4.9,3.5,17.15,1.4,108,109,
126.8,126.6,2.1,1.4,2.94,1.5,109,89,
130,99.25,2.1,2.1,4.41,1,109,90,
129.3333333,108.6666667,1.4,1.4,1.96,1,109,91,
129,111,0.7,0.7,0.49,1,109,92,
131.8461538,135.2307692,4.9,3.5,17.15,1.4,109,93,
130.5,138.6666667,2.8,1.4,3.92,2,109,94,
133.1428571,103.7142857,2.1,2.1,4.41,1,109,95,
134.4545455,125,4.9,2.8,13.72,1.75,109,96,
135.5,128.5,1.4,1.4,1.96,1,109,109,
138.4444444,141.8888889,5.6,5.6,31.36,1,109,110,
136.5,108,1.4,2.1,2.94,0.666666667,109,111,
141.3333333,139.3333333,1.4,1.4,1.96,1,109,112,
145.5,136,2.8,2.1,5.88,1.333333333,109,113,
144,138,0.7,0.7,0.49,1,109,114,
144.8,141,2.1,2.1,4.41,1,109,115,
146.4,120.2,1.4,2.1,2.94,0.666666667,109,116,
149.2,130.2,4.2,3.5,14.7,1.2,110,87,
149.2,115,2.1,2.1,4.41,1,110,88,
148.6666667,142.6666667,1.4,1.4,1.96,1,110,89,
151.8888889,121.3333333,3.5,2.1,7.35,1.666666667,110,112,
151,134,2.1,0.7,1.47,3,110,116,
151,129,0.7,0.7,0.49,1,110,117,
153.5,116.1666667,2.8,2.1,5.88,1.333333333,111,87,
153.2,127.4,2.1,1.4,2.94,1.5,111,117,
157.1428571,119.2857143,3.5,1.4,4.9,2.5,112,87,
155.5,147.5,1.4,1.4,1.96,1,112,117,
157.1666667,123,2.1,2.1,4.41,1,112,118,
158.8,134.8,4.2,2.1,8.82,2,113,87,
160.25,123,1.4,2.1,2.94,0.666666667,113,118,
161.8333333,126.1666667,2.1,2.1,4.41,1,114,87,
163,129.5555556,3.5,2.1,7.35,1.666666667,114,88,
162.6,147.8,2.8,1.4,3.92,2,114,118,
163.5714286,139.7142857,2.8,2.1,5.88,1.333333333,115,88,
165.3333333,145.6666667,2.1,2.1,4.41,1,115,89,
166.5,134.5,1.4,1.4,1.96,1,115,90,
,,,,,,115,118,
,,,,,,115,119,
,,,,,,116,90,
,,,,,,116,91,
,,,,,,116,119,
,,,,,,116,120,
,,,,,,116,121,
,,,,,,116,122,
,,,,,,116,123,
,,,,,,117,91,
,,,,,,117,123,
,,,,,,117,124,
,,,,,,118,91,
,,,,,,118,92,
,,,,,,118,124,
,,,,,,118,125,
,,,,,,119,91,
,,,,,,119,125,
,,,,,,119,126,
,,,,,,120,90,
,,,,,,120,91,
,,,,,,120,126,
,,,,,,121,90,
,,,,,,121,126,
,,,,,,121,127,
,,,,,,122,89,
,,,,,,122,90,
,,,,,,122,127,
,,,,,,123,89,
,,,,,,123,127,
,,,,,,123,128,
,,,,,,124,88,
,,,,,,124,89,
,,,,,,124,128,
,,,,,,124,129,
,,,,,,124,130,
,,,,,,125,88,
,,,,,,125,130,
,,,,,,125,131,
,,,,,,125,132,
,,,,,,126,88,
,,,,,,126,132,
,,,,,,126,133,
,,,,,,126,134,
,,,,,,126,135,
,,,,,,127,88,
,,,,,,127,135,
,,,,,,127,136,
,,,,,,127,137,
,,,,,,127,138,
,,,,,,127,139,
,,,,,,128,88,
,,,,,,128,89,
,,,,,,128,139,
,,,,,,128,140,
,,,,,,129,89,
,,,,,,129,90,
,,,,,,129,91,
,,,,,,129,92,
,,,,,,129,140,
,,,,,,130,92,
,,,,,,130,93,
,,,,,,130,94,
,,,,,,130,95,
,,,,,,130,140,
,,,,,,131,95,
,,,,,,131,96,
,,,,,,131,140,
,,,,,,131,141,
,,,,,,132,96,
,,,,,,132,97,
,,,,,,132,98,
,,,,,,132,99,
,,,,,,132,141,
,,,,,,133,99,
,,,,,,133,100,
,,,,,,133,141,
,,,,,,133,142,
,,,,,,134,100,
,,,,,,134,101,
,,,,,,134,102,
,,,,,,134,142,
,,,,,,134,143,
,,,,,,135,102,
,,,,,,135,103,
,,,,,,135,143,
,,,,,,136,103,
,,,,,,136,104,
,,,,,,136,143,
,,,,,,136,144,
,,,,,,137,104,
,,,,,,137,105,
,,,,,,137,144,
,,,,,,137,145,
,,,,,,138,105,
,,,,,,138,106,
,,,,,,138,107,
,,,,,,138,145,
,,,,,,138,146,
,,,,,,139,107,
,,,,,,139,108,
,,,,,,139,146,
,,,,,,140,108,
,,,,,,140,109,
,,,,,,140,146,
,,,,,,140,147,
,,,,,,141,109,
,,,,,,141,147,
,,,,,,141,148,
,,,,,,142,109,
,,,,,,142,110,
,,,,,,142,148,
,,,,,,142,149,
,,,,,,143,110,
,,,,,,143,149,
,,,,,,144,110,
,,,,,,144,111,
,,,,,,144,149,
,,,,,,145,111,
,,,,,,145,149,
,,,,,,146,111,
,,,,,,146,112,
,,,,,,146,149,
,,,,,,147,112,
,,,,,,147,149,
,,,,,,148,112,
,,,,,,148,113,
,,,,,,148,148,
,,,,,,148,149,
,,,,,,149,113,
,,,,,,149,148,
,,,,,,150,113,
,,,,,,150,148,
,,,,,,151,112,
,,,,,,151,113,
,,,,,,151,148,
,,,,,,151,149,
,,,,,,152,112,
,,,,,,152,149,
,,,,,,153,112,
,,,,,,153,149,
,,,,,,154,112,
,,,,,,154,113,
,,,,,,154,149,
,,,,,,155,113,
,,,,,,155,114,
,,,,,,155,149,
,,,,,,155,150,
,,,,,,156,114,
,,,,,,156,115,
,,,,,,156,150,
,,,,,,157,115,
,,,,,,157,116,
,,,,,,157,117,
,,,,,,157,149,
,,,,,,157,150,
,,,,,,158,117,
,,,,,,158,149,
,,,,,,159,117,
,,,,,,159,118,
,,,,,,159,149,
,,,,,,160,118,
,,,,,,160,149,
,,,,,,161,118,
,,,,,,161,119,
,,,,,,161,120,
,,,,,,161,121,
,,,,,,161,122,
,,,,,,161,149,
,,,,,,162,122,
,,,,,,162,123,
,,,,,,162,124,
,,,,,,162,149,
,,,,,,163,124,
