xfa,yfa,width_fa,height_fa,area_fa,aspect_ratio_fa,xmem,ymem,group
84.33333333,163.6666667,1.4,1.4,1.96,1,81,163,population
89.5,162.5,1.4,1.4,1.96,1,81,164,
92.8,164.4,2.8,1.4,3.92,2,81,165,
92.33333333,169,1.4,2.1,2.94,0.666666667,82,162,
93.8,161.6,2.1,1.4,2.94,1.5,82,163,
96.33333333,168.6666667,1.4,1.4,1.96,1,82,165,
98.66666667,165.3333333,1.4,1.4,1.96,1,83,161,
100.3333333,169,1.4,2.1,2.94,0.666666667,83,162,
102.5,163.5,2.8,2.8,7.84,1,83,165,
104.4,176.5,4.2,2.8,11.76,1.5,84,160,
103.6666667,167.6666667,1.4,1.4,1.96,1,84,161,
104,165,0.7,0.7,0.49,1,84,165,
106.5,165,1.4,2.1,2.94,0.666666667,84,166,
109.25,167,1.4,2.1,2.94,0.666666667,85,160,
110.1666667,172.8333333,2.1,2.8,5.88,0.75,85,166,
115.8125,158.4375,7,2.8,19.6,2.5,85,167,
122,164,2.1,0.7,1.47,3,86,160,
123.2,156.4,2.1,1.4,2.94,1.5,86,167,
124,168.75,2.1,2.1,4.41,1,86,168,
127.75,167,1.4,2.1,2.94,0.666666667,87,159,
133.2,157.2,2.1,2.1,4.41,1,87,160,
137.125,156.625,2.1,3.5,7.35,0.6,87,168,
142.1333333,148.4666667,7.7,6.3,48.51,1.222222222,87,169,
141,152.5,2.1,1.4,2.94,1.5,87,170,
,,,,,,87,171,
,,,,,,87,172,
,,,,,,88,159,
,,,,,,88,168,
,,,,,,88,172,
,,,,,,89,159,
,,,,,,89,172,
,,,,,,89,173,
,,,,,,89,174,
,,,,,,90,159,
,,,,,,90,168,
,,,,,,90,174,
,,,,,,91,159,
,,,,,,91,160,
,,,,,,91,174,
,,,,,,92,160,
,,,,,,92,174,
,,,,,,93,160,
,,,,,,93,174,
,,,,,,93,175,
,,,,,,94,160,
,,,,,,94,175,
,,,,,,95,160,
,,,,,,95,161,
,,,,,,95,175,
,,,,,,96,161,
,,,,,,96,175,
,,,,,,97,160,
,,,,,,97,161,
,,,,,,97,175,
,,,,,,98,160,
,,,,,,98,174,
,,,,,,98,175,
,,,,,,99,160,
,,,,,,99,174,
,,,,,,100,160,
,,,,,,100,174,
,,,,,,100,175,
,,,,,,100,176,
,,,,,,100,177,
,,,,,,101,160,
,,,,,,101,161,
,,,,,,101,175,
,,,,,,101,177,
,,,,,,101,178,
,,,,,,101,179,
,,,,,,102,160,
,,,,,,102,161,
,,,,,,102,179,
,,,,,,103,160,
,,,,,,103,179,
,,,,,,103,180,
,,,,,,104,160,
,,,,,,104,180,
,,,,,,105,160,
,,,,,,105,180,
,,,,,,106,160,
,,,,,,106,179,
,,,,,,106,180,
,,,,,,107,160,
,,,,,,107,179,
,,,,,,108,159,
,,,,,,108,160,
,,,,,,108,178,
,,,,,,108,179,
,,,,,,109,159,
,,,,,,109,178,
,,,,,,110,159,
,,,,,,110,178,
,,,,,,111,158,
,,,,,,111,159,
,,,,,,111,177,
,,,,,,111,178,
,,,,,,112,158,
,,,,,,112,177,
,,,,,,113,157,
,,,,,,113,158,
,,,,,,113,177,
,,,,,,114,157,
,,,,,,114,177,
,,,,,,115,156,
,,,,,,115,157,
,,,,,,115,177,
,,,,,,116,156,
,,,,,,116,176,
,,,,,,116,177,
,,,,,,117,155,
,,,,,,117,156,
,,,,,,117,176,
,,,,,,118,155,
,,,,,,118,176,
,,,,,,119,155,
,,,,,,119,175,
,,,,,,119,176,
,,,,,,120,155,
,,,,,,120,175,
,,,,,,121,154,
,,,,,,121,155,
,,,,,,121,175,
,,,,,,122,154,
,,,,,,122,174,
,,,,,,122,175,
,,,,,,123,154,
,,,,,,123,173,
,,,,,,123,174,
,,,,,,124,153,
,,,,,,124,154,
,,,,,,124,173,
,,,,,,125,153,
,,,,,,125,172,
,,,,,,125,173,
,,,,,,126,152,
,,,,,,126,153,
,,,,,,126,171,
,,,,,,126,172,
,,,,,,127,152,
,,,,,,127,170,
,,,,,,127,171,
,,,,,,128,151,
,,,,,,128,152,
,,,,,,128,169,
,,,,,,128,170,
,,,,,,129,150,
,,,,,,129,151,
,,,,,,129,169,
,,,,,,130,150,
,,,,,,130,168,
,,,,,,130,169,
,,,,,,131,149,
,,,,,,131,150,
,,,,,,131,168,
,,,,,,132,148,
,,,,,,132,149,
,,,,,,132,167,
,,,,,,132,168,
,,,,,,133,148,
,,,,,,133,166,
,,,,,,133,167,
,,,,,,134,147,
,,,,,,134,148,
,,,,,,134,165,
,,,,,,134,166,
,,,,,,135,147,
,,,,,,135,165,
,,,,,,136,146,
,,,,,,136,147,
,,,,,,136,164,
,,,,,,136,165,
,,,,,,137,145,
,,,,,,137,146,
,,,,,,137,164,
,,,,,,138,145,
,,,,,,138,164,
,,,,,,139,143,
,,,,,,139,144,
,,,,,,139,145,
,,,,,,139,161,
,,,,,,139,162,
,,,,,,139,163,
,,,,,,139,164,
,,,,,,140,143,
,,,,,,140,159,
,,,,,,140,160,
,,,,,,140,161,
,,,,,,141,142,
,,,,,,141,143,
,,,,,,141,158,
,,,,,,141,159,
,,,,,,142,142,
,,,,,,142,158,
,,,,,,143,142,
,,,,,,143,143,
,,,,,,143,144,
,,,,,,143,157,
,,,,,,143,158,
,,,,,,144,144,
,,,,,,144,145,
,,,,,,144,157,
,,,,,,145,145,
,,,,,,145,146,
,,,,,,145,147,
,,,,,,145,156,
,,,,,,145,157,
,,,,,,146,147,
,,,,,,146,148,
,,,,,,146,149,
,,,,,,146,150,
,,,,,,146,155,
,,,,,,146,156,
,,,,,,147,150,
,,,,,,147,154,
,,,,,,147,155,
,,,,,,148,150,
,,,,,,148,151,
,,,,,,148,152,
,,,,,,148,153,
,,,,,,148,154,
