xfa,yfa,width_fa,height_fa,area_fa,aspect_ratio_fa,xmem,ymem,group
88.5,124.5,1.4,1.4,1.96,1,86,123,population
92.13333333,129.6666667,2.8,4.2,11.76,0.666666667,86,124,
92.83333333,135,2.1,2.1,4.41,1,86,125,
93.66666667,145.3333333,1.4,1.4,1.96,1,86,126,
96.5,134,1.4,2.1,2.94,0.666666667,87,120,
97.375,142.25,2.8,2.1,5.88,1.333333333,87,121,
99.33333333,150.1666667,2.1,2.1,4.41,1,87,122,
101.3333333,159.8333333,1.4,2.8,3.92,0.5,87,123,
104.4285714,157.2857143,1.4,2.8,3.92,0.5,87,126,
105.6666667,112.3333333,1.4,1.4,1.96,1,87,127,
105.3333333,118.6666667,1.4,1.4,1.96,1,87,128,
107.2857143,151.5714286,2.1,2.8,5.88,0.75,87,129,
109.3636364,144.4545455,4.2,2.8,11.76,1.5,87,131,
113.1428571,138.2857143,3.5,4.9,17.15,0.714285714,87,132,
117,130.8333333,2.1,2.1,4.41,1,87,133,
117.5,139.5,1.4,1.4,1.96,1,87,134,
121.5,138,2.8,0.7,1.96,4,88,117,
123,129.1666667,3.5,2.1,7.35,1.666666667,88,118,
125.5,130.5,1.4,1.4,1.96,1,88,119,
126.6666667,124.6666667,1.4,1.4,1.96,1,88,120,
130.4,122.8,2.8,1.4,3.92,2,88,122,
134,118.3076923,2.1,4.2,8.82,0.5,88,129,
134.8,122.8,2.1,2.1,4.41,1,88,130,
,,,,,,88,131,
,,,,,,88,134,
,,,,,,88,135,
,,,,,,88,136,
,,,,,,89,117,
,,,,,,89,136,
,,,,,,89,137,
,,,,,,89,138,
,,,,,,89,139,
,,,,,,90,116,
,,,,,,90,117,
,,,,,,90,139,
,,,,,,90,140,
,,,,,,90,141,
,,,,,,90,142,
,,,,,,90,143,
,,,,,,90,144,
,,,,,,90,145,
,,,,,,91,115,
,,,,,,91,116,
,,,,,,91,145,
,,,,,,91,146,
,,,,,,92,115,
,,,,,,92,146,
,,,,,,93,114,
,,,,,,93,115,
,,,,,,93,146,
,,,,,,94,113,
,,,,,,94,114,
,,,,,,94,146,
,,,,,,95,113,
,,,,,,95,146,
,,,,,,95,147,
,,,,,,96,113,
,,,,,,96,147,
,,,,,,96,150,
,,,,,,96,151,
,,,,,,96,152,
,,,,,,96,153,
,,,,,,96,154,
,,,,,,97,113,
,,,,,,97,146,
,,,,,,97,147,
,,,,,,97,149,
,,,,,,97,150,
,,,,,,97,154,
,,,,,,97,155,
,,,,,,98,112,
,,,,,,98,113,
,,,,,,98,147,
,,,,,,98,148,
,,,,,,98,149,
,,,,,,98,155,
,,,,,,98,156,
,,,,,,99,112,
,,,,,,99,148,
,,,,,,99,156,
,,,,,,99,158,
,,,,,,99,159,
,,,,,,99,160,
,,,,,,99,161,
,,,,,,99,162,
,,,,,,100,112,
,,,,,,100,156,
,,,,,,100,157,
,,,,,,100,158,
,,,,,,100,162,
,,,,,,101,112,
,,,,,,101,162,
,,,,,,102,111,
,,,,,,102,112,
,,,,,,102,162,
,,,,,,103,111,
,,,,,,103,161,
,,,,,,103,162,
,,,,,,104,111,
,,,,,,104,160,
,,,,,,104,161,
,,,,,,105,111,
,,,,,,105,160,
,,,,,,106,111,
,,,,,,106,159,
,,,,,,106,160,
,,,,,,107,111,
,,,,,,107,158,
,,,,,,107,159,
,,,,,,108,111,
,,,,,,108,112,
,,,,,,108,157,
,,,,,,108,158,
,,,,,,109,111,
,,,,,,109,112,
,,,,,,109,155,
,,,,,,109,156,
,,,,,,109,157,
,,,,,,110,111,
,,,,,,110,154,
,,,,,,110,155,
,,,,,,111,111,
,,,,,,111,153,
,,,,,,111,154,
,,,,,,112,111,
,,,,,,112,153,
,,,,,,113,111,
,,,,,,113,112,
,,,,,,113,152,
,,,,,,113,153,
,,,,,,114,112,
,,,,,,114,152,
,,,,,,115,112,
,,,,,,115,152,
,,,,,,116,111,
,,,,,,116,112,
,,,,,,116,151,
,,,,,,116,152,
,,,,,,117,111,
,,,,,,117,150,
,,,,,,117,151,
,,,,,,118,111,
,,,,,,118,150,
,,,,,,119,111,
,,,,,,119,112,
,,,,,,119,150,
,,,,,,120,112,
,,,,,,120,113,
,,,,,,120,150,
,,,,,,121,112,
,,,,,,121,149,
,,,,,,121,150,
,,,,,,122,112,
,,,,,,122,113,
,,,,,,122,149,
,,,,,,123,113,
,,,,,,123,114,
,,,,,,123,147,
,,,,,,123,148,
,,,,,,123,149,
,,,,,,124,114,
,,,,,,124,143,
,,,,,,124,144,
,,,,,,124,145,
,,,,,,124,146,
,,,,,,124,147,
,,,,,,125,114,
,,,,,,125,141,
,,,,,,125,142,
,,,,,,125,143,
,,,,,,126,114,
,,,,,,126,115,
,,,,,,126,135,
,,,,,,126,136,
,,,,,,126,139,
,,,,,,126,140,
,,,,,,126,141,
,,,,,,127,114,
,,,,,,127,135,
,,,,,,127,136,
,,,,,,127,137,
,,,,,,127,138,
,,,,,,127,139,
,,,,,,128,114,
,,,,,,128,132,
,,,,,,128,133,
,,,,,,128,134,
,,,,,,128,135,
,,,,,,129,114,
,,,,,,129,115,
,,,,,,129,130,
,,,,,,129,131,
,,,,,,129,132,
,,,,,,130,114,
,,,,,,130,129,
,,,,,,130,130,
,,,,,,131,113,
,,,,,,131,114,
,,,,,,131,129,
,,,,,,132,113,
,,,,,,132,128,
,,,,,,132,129,
,,,,,,133,113,
,,,,,,133,127,
,,,,,,133,128,
,,,,,,134,113,
,,,,,,134,127,
,,,,,,135,113,
,,,,,,135,114,
,,,,,,135,126,
,,,,,,135,127,
,,,,,,136,114,
,,,,,,136,115,
,,,,,,136,116,
,,,,,,136,126,
,,,,,,137,116,
,,,,,,137,117,
,,,,,,137,118,
,,,,,,137,119,
,,,,,,137,120,
,,,,,,137,121,
,,,,,,137,122,
,,,,,,137,123,
,,,,,,137,124,
,,,,,,137,125,
,,,,,,137,126,
