xfa,yfa,width_fa,height_fa,area_fa,aspect_ratio_fa,xmem,ymem,group
105.6,134.4,1.4,2.8,3.92,0.5,103,121,population
111,103,0.7,2.1,1.47,0.333333333,103,122,
115.4285714,141.4285714,2.8,2.8,7.84,1,103,123,
117.3333333,133.3333333,1.4,1.4,1.96,1,103,124,
119.5,96.33333333,2.8,1.4,3.92,2,103,125,
118.5,138.5,1.4,1.4,1.96,1,103,126,
120.5,146.5,1.4,1.4,1.96,1,103,127,
123.3333333,99.66666667,1.4,1.4,1.96,1,103,128,
126,122.125,3.5,2.8,9.8,1.25,104,115,
138.5,120.5,1.4,1.4,1.96,1,104,116,
140.5,137.5,1.4,1.4,1.96,1,104,117,
,,,,,,104,118,
,,,,,,104,119,
,,,,,,104,120,
,,,,,,104,121,
,,,,,,104,128,
,,,,,,104,129,
,,,,,,104,130,
,,,,,,104,131,
,,,,,,104,132,
,,,,,,104,133,
,,,,,,104,134,
,,,,,,104,135,
,,,,,,104,136,
,,,,,,104,137,
,,,,,,104,138,
,,,,,,105,111,
,,,,,,105,112,
,,,,,,105,113,
,,,,,,105,114,
,,,,,,105,115,
,,,,,,105,118,
,,,,,,105,129,
,,,,,,105,130,
,,,,,,105,132,
,,,,,,105,138,
,,,,,,105,139,
,,,,,,105,140,
,,,,,,105,141,
,,,,,,106,107,
,,,,,,106,108,
,,,,,,106,109,
,,,,,,106,110,
,,,,,,106,111,
,,,,,,106,141,
,,,,,,106,142,
,,,,,,107,105,
,,,,,,107,106,
,,,,,,107,107,
,,,,,,107,142,
,,,,,,107,143,
,,,,,,107,144,
,,,,,,108,104,
,,,,,,108,105,
,,,,,,108,144,
,,,,,,108,145,
,,,,,,109,102,
,,,,,,109,103,
,,,,,,109,104,
,,,,,,109,145,
,,,,,,109,146,
,,,,,,110,100,
,,,,,,110,101,
,,,,,,110,102,
,,,,,,110,146,
,,,,,,110,147,
,,,,,,111,99,
,,,,,,111,100,
,,,,,,111,147,
,,,,,,111,148,
,,,,,,112,98,
,,,,,,112,99,
,,,,,,112,148,
,,,,,,113,97,
,,,,,,113,98,
,,,,,,113,148,
,,,,,,113,149,
,,,,,,114,95,
,,,,,,114,96,
,,,,,,114,97,
,,,,,,114,149,
,,,,,,115,95,
,,,,,,115,149,
,,,,,,116,95,
,,,,,,116,149,
,,,,,,117,94,
,,,,,,117,95,
,,,,,,117,149,
,,,,,,118,94,
,,,,,,118,149,
,,,,,,119,94,
,,,,,,119,148,
,,,,,,119,149,
,,,,,,120,94,
,,,,,,120,149,
,,,,,,121,94,
,,,,,,121,95,
,,,,,,121,149,
,,,,,,122,95,
,,,,,,122,96,
,,,,,,122,148,
,,,,,,122,149,
,,,,,,123,96,
,,,,,,123,148,
,,,,,,124,96,
,,,,,,124,148,
,,,,,,125,96,
,,,,,,125,97,
,,,,,,125,98,
,,,,,,125,148,
,,,,,,126,98,
,,,,,,126,99,
,,,,,,126,147,
,,,,,,126,148,
,,,,,,127,99,
,,,,,,127,147,
,,,,,,128,99,
,,,,,,128,100,
,,,,,,128,101,
,,,,,,128,146,
,,,,,,128,147,
,,,,,,129,101,
,,,,,,129,102,
,,,,,,129,103,
,,,,,,129,145,
,,,,,,129,146,
,,,,,,130,103,
,,,,,,130,104,
,,,,,,130,145,
,,,,,,131,104,
,,,,,,131,105,
,,,,,,131,106,
,,,,,,131,107,
,,,,,,131,144,
,,,,,,131,145,
,,,,,,132,107,
,,,,,,132,108,
,,,,,,132,109,
,,,,,,132,143,
,,,,,,132,144,
,,,,,,133,109,
,,,,,,133,110,
,,,,,,133,143,
,,,,,,133,144,
,,,,,,134,110,
,,,,,,134,111,
,,,,,,134,144,
,,,,,,135,111,
,,,,,,135,112,
,,,,,,135,143,
,,,,,,135,144,
,,,,,,136,112,
,,,,,,136,113,
,,,,,,136,114,
,,,,,,136,143,
,,,,,,137,114,
,,,,,,137,142,
,,,,,,137,143,
,,,,,,138,114,
,,,,,,138,115,
,,,,,,138,142,
,,,,,,139,115,
,,,,,,139,116,
,,,,,,139,117,
,,,,,,139,118,
,,,,,,139,141,
,,,,,,139,142,
,,,,,,140,118,
,,,,,,140,119,
,,,,,,140,120,
,,,,,,140,121,
,,,,,,140,122,
,,,,,,140,123,
,,,,,,140,125,
,,,,,,140,140,
,,,,,,140,141,
,,,,,,141,123,
,,,,,,141,124,
,,,,,,141,125,
,,,,,,141,126,
,,,,,,141,127,
,,,,,,141,128,
,,,,,,141,129,
,,,,,,141,139,
,,,,,,141,140,
,,,,,,142,129,
,,,,,,142,139,
,,,,,,143,129,
,,,,,,143,137,
,,,,,,143,138,
,,,,,,143,139,
,,,,,,144,129,
,,,,,,144,130,
,,,,,,144,131,
,,,,,,144,132,
,,,,,,144,133,
,,,,,,144,134,
,,,,,,144,135,
,,,,,,144,136,
,,,,,,144,137,
