xfa,yfa,width_fa,height_fa,area_fa,aspect_ratio_fa,xmem,ymem,group
78.66666667,126.6666667,1.4,1.4,1.96,1,75,122,population
81.53846154,124.2307692,4.2,4.2,17.64,1,75,123,
84,135,2.1,2.1,4.41,1,75,124,
84.75,130.5,2.1,1.4,2.94,1.5,75,125,
87.85714286,134.2857143,3.5,1.4,4.9,2.5,75,126,
87.66666667,138.3333333,1.4,1.4,1.96,1,76,121,
88.55555556,143,3.5,2.1,7.35,1.666666667,76,122,
90.33333333,140,1.4,2.1,2.94,0.666666667,76,126,
92.72727273,137.6363636,3.5,3.5,12.25,1,76,127,
93.2,133.2,2.1,2.1,4.41,1,77,121,
92.66666667,146.6666667,1.4,1.4,1.96,1,77,127,
94.16666667,127.1666667,2.8,2.8,7.84,1,77,128,
96.6,133.2,1.4,2.8,3.92,0.5,77,129,
97.44444444,140.5555556,2.8,2.8,7.84,1,77,130,
98,137,2.1,0.7,1.47,3,78,121,
98.5,147.5,1.4,1.4,1.96,1,78,130,
99.8,133.6,1.4,2.8,3.92,0.5,79,121,
100.2,126.4,1.4,2.8,3.92,0.5,79,130,
100.6666667,138.6666667,1.4,1.4,1.96,1,79,131,
103.1,128.8,2.8,4.2,11.76,0.666666667,80,121,
102.5714286,142.7142857,2.8,2.1,5.88,1.333333333,80,131,
102,128,0.7,0.7,0.49,1,80,132,
102.5,133,1.4,0.7,0.98,2,80,133,
103.5,135.5,2.8,1.4,3.92,2,81,121,
103.6,139.2,1.4,2.1,2.94,0.666666667,81,133,
105,149.3333333,2.1,1.4,2.94,1.5,82,121,
106.8,131.2,2.8,2.1,5.88,1.333333333,82,122,
105,134,0.7,0.7,0.49,1,82,133,
107,128,2.8,2.1,5.88,1.333333333,82,134,
106.75,137.25,1.4,2.1,2.94,0.666666667,82,135,
106.6666667,140.6666667,1.4,1.4,1.96,1,83,122,
107.6666667,125.3333333,1.4,1.4,1.96,1,83,135,
107.5,133.5,1.4,1.4,1.96,1,83,136,
108.2,146.8,2.8,1.4,3.92,2,83,137,
109,135,0.7,0.7,0.49,1,83,138,
109.75,137.75,1.4,2.1,2.94,0.666666667,84,122,
110.8,143.3,3.5,2.8,9.8,1.25,84,123,
113.6,156.8,8.4,3.5,29.4,2.4,84,138,
113.5294118,133,6.3,3.5,22.05,1.8,84,139,
111,151,2.1,2.1,4.41,1,85,123,
111.3333333,128.3333333,1.4,1.4,1.96,1,85,139,
112,135.25,2.1,1.4,2.94,1.5,85,140,
116.2962963,140.037037,5.6,8.4,47.04,0.666666667,86,123,
113.5882353,147.2941176,3.5,4.2,14.7,0.833333333,86,140,
112.5,154.5,1.4,1.4,1.96,1,86,141,
114,130.6666667,2.1,1.4,2.94,1.5,86,142,
115.3333333,154.3333333,2.1,2.8,5.88,0.75,86,143,
117.8888889,150.4444444,4.2,2.1,8.82,2,86,144,
117.1666667,129,1.4,3.5,4.9,0.4,86,145,
120.1111111,154.6666667,3.5,2.1,7.35,1.666666667,87,123,
120.8333333,126.3333333,2.8,1.4,3.92,2,87,141,
