xfa,yfa,width_fa,height_fa,area_fa,aspect_ratio_fa,xmem,ymem,group
103.6666667,112.4166667,4.2,2.8,11.76,1.5,99,112,population
101.8333333,120.4166667,2.1,6.3,13.23,0.333333333,99,113,
104.5,106.5,1.4,1.4,1.96,1,99,114,
106.7,103.4,2.8,3.5,9.8,0.8,99,115,
105.75,130.125,2.1,3.5,7.35,0.6,99,116,
107.5,109.3333333,2.8,1.4,3.92,2,99,117,
108,129,0.7,2.1,1.47,0.333333333,99,118,
112.3913043,135.8695652,6.3,6.3,39.69,1,99,119,
110.25,100.75,2.1,1.4,2.94,1.5,99,120,
113.2,104.6,4.2,2.8,11.76,1.5,100,106,
110.5,115.5,1.4,1.4,1.96,1,100,107,
110.6666667,120.6666667,2.1,2.1,4.41,1,100,108,
114.2,114.5,2.8,3.5,9.8,0.8,100,109,
115,126.4,2.1,2.1,4.41,1,100,110,
117.9166667,139.5833333,2.1,4.9,10.29,0.428571429,100,111,
119.6666667,112.6666667,1.4,1.4,1.96,1,100,112,
119.4,118.2,1.4,2.1,2.94,0.666666667,100,120,
119.3333333,124.6666667,1.4,1.4,1.96,1,100,121,
122.9166667,133.5,3.5,3.5,12.25,1,100,122,
122.8,103,2.1,2.1,4.41,1,100,123,
122.6666667,115,1.4,2.1,2.94,0.666666667,100,124,
122.3333333,143.6666667,1.4,1.4,1.96,1,101,106,
124.875,106.5,3.5,2.8,9.8,1.25,101,124,
126,113,2.1,2.1,4.41,1,101,125,
128.9615385,141.1538462,5.6,8.4,47.04,0.666666667,102,104,
129,121,0.7,2.1,1.47,0.333333333,102,105,
129.5,126.5,1.4,1.4,1.96,1,102,106,
134.8333333,128.3333333,2.1,2.8,5.88,0.75,102,125,
136.875,117.75,2.8,2.1,5.88,1.333333333,102,126,
136.5714286,132.4285714,2.8,3.5,9.8,0.8,102,127,
138.2,124.4,2.1,1.4,2.94,1.5,102,128,
139.5,113.5,1.4,1.4,1.96,1,102,129,
,,,,,,102,130,
,,,,,,102,131,
,,,,,,102,132,
,,,,,,102,133,
,,,,,,102,134,
,,,,,,102,135,
