xfa,yfa,width_fa,height_fa,area_fa,aspect_ratio_fa,xmem,ymem,group
98.75,122,1.4,2.1,2.94,0.666666667,95,116,population
100.75,106.5,2.8,2.8,7.84,1,95,117,
101.3333333,110.1666667,3.5,1.4,4.9,2.5,95,118,
103.0357143,114.7857143,7.7,5.6,43.12,1.375,95,119,
103.1428571,124.2857143,2.1,3.5,7.35,0.6,96,116,
105,116,0.7,0.7,0.49,1,96,119,
106.2857143,118.7142857,2.8,2.1,5.88,1.333333333,96,120,
105.8333333,127.6666667,2.1,2.1,4.41,1,96,121,
107,103,2.1,2.1,4.41,1,96,122,
109.4210526,128.5263158,4.9,6.3,30.87,0.777777778,97,106,
108,122.6666667,2.1,1.4,2.94,1.5,97,107,
107.8888889,133.4444444,2.1,3.5,7.35,0.6,97,108,
114.1904762,142.6190476,7,4.2,29.4,1.666666667,97,109,
111.5,111.5,1.4,1.4,1.96,1,97,110,
116.6969697,119.6363636,9.1,7.7,70.07,1.181818182,97,111,
112.7,128.3,3.5,4.2,14.7,0.833333333,97,112,
113.5,136.9285714,4.2,4.9,20.58,0.857142857,97,115,
114,108.8333333,2.1,2.1,4.41,1,97,116,
115.5,113,1.4,2.1,2.94,0.666666667,97,122,
119.6666667,128.3333333,1.4,1.4,1.96,1,97,123,
121.9285714,133.5,3.5,4.9,17.15,0.714285714,98,103,
121.3333333,148.6666667,1.4,1.4,1.96,1,98,104,
123.3333333,128.6666667,1.4,1.4,1.96,1,98,105,
124,131,0.7,0.7,0.49,1,98,106,
125.2,148.4,2.1,1.4,2.94,1.5,98,112,
126.1666667,134.8333333,2.1,2.8,5.88,0.75,98,113,
130,133.4565217,6.3,8.4,52.92,0.75,98,114,
126.5,138.5,1.4,1.4,1.96,1,98,115,
132.75,145.6666667,3.5,3.5,12.25,1,98,123,
132,150.5,2.1,1.4,2.94,1.5,98,124,
136.6,152.1,2.8,2.8,7.84,1,98,125,
140,149.3333333,2.1,1.4,2.94,1.5,99,103,
143.3888889,145.1666667,5.6,4.2,23.52,1.333333333,99,125,
143.1818182,140.7272727,3.5,2.8,9.8,1.25,99,126,
153.8333333,150.3333333,2.8,2.8,7.84,1,100,102,
158.1666667,148.8333333,4.9,2.1,10.29,2.333333333,100,103,
163.5555556,153.3333333,2.8,2.8,7.84,1,100,126,
,,,,,,100,127,
,,,,,,101,101,
,,,,,,101,102,
,,,,,,101,127,
,,,,,,102,101,
,,,,,,102,127,
,,,,,,102,128,
,,,,,,102,129,
,,,,,,103,101,
,,,,,,103,129,
,,,,,,104,101,
,,,,,,104,129,
,,,,,,104,130,
,,,,,,105,101,
,,,,,,105,130,
,,,,,,105,131,
,,,,,,106,101,
,,,,,,106,131,
,,,,,,106,132,
,,,,,,106,133,
