xfa,yfa,width_fa,height_fa,area_fa,aspect_ratio_fa,xmem,ymem,group
101,135.6363636,3.5,2.8,9.8,1.25,96,137,population
100.5,143.5,1.4,1.4,1.96,1,96,138,
105.2,107.6,2.8,1.4,3.92,2,96,139,
105.6666667,129.6666667,1.4,1.4,1.96,1,96,140,
105.6666667,133,1.4,2.1,2.94,0.666666667,96,141,
108,127.5,2.1,1.4,2.94,1.5,96,142,
110,103.6363636,3.5,2.1,7.35,1.666666667,97,135,
109.8,111.4,2.1,1.4,2.94,1.5,97,136,
110,122.8333333,2.1,2.1,4.41,1,97,137,
115.04,130.68,7.7,6.3,48.51,1.222222222,97,142,
113.7692308,117.9230769,4.2,4.2,17.64,1,98,134,
113.8181818,105.8181818,3.5,3.5,12.25,1,98,135,
112,113,0.7,0.7,0.49,1,98,141,
114.2,123.9,3.5,3.5,12.25,1,98,142,
112.6666667,141,1.4,2.1,2.94,0.666666667,98,143,
113.5,99,1.4,2.1,2.94,0.666666667,98,144,
114.5,89,1.4,2.1,2.94,0.666666667,98,145,
115,111.25,2.1,1.4,2.94,1.5,99,133,
114.3333333,114.6666667,1.4,1.4,1.96,1,99,134,
115.4,95.2,1.4,2.1,2.94,0.666666667,99,141,
117.6666667,144.1666667,2.1,2.1,4.41,1,99,142,
118.6,123.2,1.4,2.1,2.94,0.666666667,99,145,
120.7692308,139.9230769,3.5,3.5,12.25,1,100,132,
119.25,112,1.4,2.1,2.94,0.666666667,100,133,
119.3333333,117.3333333,1.4,1.4,1.96,1,100,145,
120.5,94,1.4,2.1,2.94,0.666666667,101,131,
120.6666667,135.6666667,1.4,1.4,1.96,1,101,132,
122,128.3333333,2.1,1.4,2.94,1.5,101,145,
123.3333333,105.8333333,1.4,2.8,3.92,0.5,102,105,
124.5,125,3.5,2.1,7.35,1.666666667,102,106,
126,133,5.6,6.3,35.28,0.888888889,102,107,
126.8181818,92,2.8,4.9,13.72,0.571428571,102,108,
126.1538462,128.6923077,2.8,3.5,9.8,0.8,102,131,
127.5833333,116.5833333,2.8,4.9,13.72,0.571428571,102,144,
127,103,0.7,3.5,2.45,0.2,102,145,
128.75,138.25,1.4,2.1,2.94,0.666666667,103,105,
131.125,100.375,2.1,2.8,5.88,0.75,103,108,
132,122.6363636,2.8,4.2,11.76,0.666666667,103,109,
130.3333333,126,1.4,2.1,2.94,0.666666667,103,130,
131.3333333,109.6666667,1.4,1.4,1.96,1,103,131,
131.5,114.5,1.4,1.4,1.96,1,103,144,
133.1666667,134.1666667,2.1,2.1,4.41,1,104,104,
132.5,138.5,1.4,1.4,1.96,1,104,105,
134.4285714,106.5714286,3.5,3.5,12.25,1,104,109,
134.2,130.8,2.1,2.1,4.41,1,104,128,
135,123.5,0.7,2.8,1.96,0.25,104,129,
136.75,100.75,1.4,2.1,2.94,0.666666667,104,130,
137.5,138.75,1.4,2.1,2.94,0.666666667,104,144,
138.6,114.8,2.1,2.8,5.88,0.75,105,103,
139.875,134.25,3.5,2.1,7.35,1.666666667,105,104,
139.8181818,128.4545455,2.1,3.5,7.35,0.6,105,109,
143.6470588,140.0588235,5.6,3.5,19.6,1.6,105,110,
141.3333333,91.33333333,1.4,1.4,1.96,1,105,126,
143.5,115.375,2.8,3.5,9.8,0.8,105,127,
143.3333333,128.6666667,1.4,1.4,1.96,1,105,128,
146.3333333,98.26666667,4.2,5.6,23.52,0.75,105,144,
144.75,106.25,2.1,2.1,4.41,1,106,102,
145.3333333,136.6666667,1.4,1.4,1.96,1,106,103,
145.6666667,146.6666667,1.4,1.4,1.96,1,106,110,
150.047619,121.5714286,6.3,5.6,35.28,1.125,106,111,
147.5,127.5,1.4,1.4,1.96,1,106,112,
147,139,0.7,0.7,0.49,1,106,118,
149.5,137.5,1.4,1.4,1.96,1,106,119,
157.8,120.3,2.1,3.5,7.35,0.6,106,120,
,,,,,,106,124,
,,,,,,106,125,
,,,,,,106,126,
,,,,,,106,144,
,,,,,,107,101,
,,,,,,107,102,
,,,,,,107,112,
,,,,,,107,113,
,,,,,,107,114,
,,,,,,107,117,
,,,,,,107,118,
,,,,,,107,120,
,,,,,,107,121,
,,,,,,107,122,
,,,,,,107,123,
,,,,,,107,124,
,,,,,,107,144,
,,,,,,108,100,
,,,,,,108,101,
,,,,,,108,114,
,,,,,,108,115,
,,,,,,108,116,
,,,,,,108,117,
,,,,,,108,144,
,,,,,,108,145,
,,,,,,109,100,
,,,,,,109,145,
,,,,,,110,97,
,,,,,,110,98,
