xfa,yfa,width_fa,height_fa,area_fa,aspect_ratio_fa,xmem,ymem,group
116.1964286,133.9464286,10.5,14,147,0.75,105,127,population
114.6666667,129.3333333,1.4,1.4,1.96,1,105,128,
117.5,130,1.4,0.7,0.98,2,105,129,
125.212766,124.2553191,9.8,9.1,89.18,1.076923077,105,130,
119.5,135.5,2.8,1.4,3.92,2,105,131,
123.7142857,138.1428571,2.1,2.1,4.41,1,106,126,
124,125,0.7,0.7,0.49,1,106,127,
132.3258427,134.5730337,13.3,9.1,121.03,1.461538462,106,131,
125.75,117.75,1.4,2.1,2.94,0.666666667,106,132,
125.8,141.6,2.1,1.4,2.94,1.5,107,125,
126.6,136.8,1.4,2.1,2.94,0.666666667,107,126,
131.5454545,114.0681818,7.7,7,53.9,1.1,107,132,
128,121,0.7,0.7,0.49,1,107,133,
128,140,0.7,0.7,0.49,1,108,125,
134.5,142.7727273,8.4,2.8,23.52,3,108,133,
130.8,140.4,2.1,1.4,2.94,1.5,109,124,
135.8928571,122.1428571,6.3,6.3,39.69,1,109,125,
132,125,0.7,0.7,0.49,1,109,133,
134.6,106.7,2.8,2.8,7.84,1,109,134,
133,117,0.7,0.7,0.49,1,109,135,
135.5454545,135,4.9,2.1,10.29,2.333333333,110,122,
135.25,110.25,2.1,1.4,2.94,1.5,110,123,
136.25,128.5,2.8,2.8,7.84,1,110,124,
139,109.1428571,2.1,3.5,7.35,0.6,110,135,
142,117.2916667,4.2,7,29.4,0.6,110,136,
140.2,132.6,2.1,1.4,2.94,1.5,110,137,
141.2,124.6,2.1,1.4,2.94,1.5,110,138,
141.4,129,1.4,2.1,2.94,0.666666667,110,139,
148.4571429,134.4285714,11.2,7.7,86.24,1.454545455,110,140,
144,131.6666667,2.1,1.4,2.94,1.5,110,141,
144,140.6666667,2.1,1.4,2.94,1.5,110,142,
146.1,104.4,4.2,2.8,11.76,1.5,110,143,
145,127.2142857,2.8,3.5,9.8,0.8,110,144,
146.5555556,123.4444444,2.8,2.8,7.84,1,111,122,
148.1111111,131.6666667,4.2,2.1,8.82,2,111,144,
148.6666667,128.6666667,1.4,1.4,1.96,1,111,145,
151.7142857,138.1428571,4.9,3.5,17.15,1.4,112,122,
151.625,110.625,2.8,5.6,15.68,0.5,112,145,
152.6666667,124.6666667,1.4,1.4,1.96,1,113,121,
152.3333333,128.3333333,1.4,1.4,1.96,1,113,122,
155.75,110,2.1,2.1,4.41,1,113,144,
